factor,percent,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
baseline,0.0,0.0,0.37884003,0.6623506378577748,2850.78730713,931.68632031,3.0598144944120866,62.75937869,0.0,0.0,0.0,0.010262419619134875,0.022488212454559415,1.9829377065020002,1.7122359706437749,2.2536394423602255,1.3161967631791378,16.991634931617302
s_wale,0.25,0.00324789,0.37845373,0.6616752444696884,2882.21570891,937.80028787,3.073378997842171,63.44071204,0.00037953573174362307,0.0005664159973023239,0.0006635669784162178,0.010342735657054755,0.022907414652834596,1.9846235894724706,1.7139834799365716,2.2552636990083696,1.3158024714986336,16.942377660315106
s_wale,-0.25,-0.00324789,0.37922583,0.6630251570633761,2819.31982414,925.60095316,3.0459344434713977,62.07844979,0.00037974368411569843,0.0005668795106545845,0.0006639305550590617,0.010195371755780551,0.02207013076806298,1.9812250982619128,1.7104720537762539,2.251978142747572,1.3165828332452558,17.04084305011265
s_wale,0.5,0.00649578,0.3780669,0.6609989244481677,2913.60542794,943.94212965,3.086635648967509,64.1224044,0.0007588768715538262,0.0011323544145275383,0.0013267937391124977,0.010435998696871503,0.023327694681294604,1.9862834691808477,1.7157162140161413,2.2568507243455542,1.3153986107426983,16.89307133561553
s_wale,-0.5,-0.00649578,0.37961112,0.6636987846028424,2787.81285362,919.5449258,3.031730995845163,61.3979719,0.0007597061254427639,0.00113425503243317,0.0013282435775635204,0.010141867755820497,0.02165321303434668,1.9794866760577534,1.7086933540217026,2.250279998093804,1.3169595309757507,17.090006908579454
s_wale,1.0,0.01299156,0.3772916,0.6596434170865746,2976.27036586,956.30658629,3.1122554299311767,65.4866904,0.0015170251282722676,0.002262904852175625,0.002652313593569855,0.010659917840585557,0.02417129965491098,1.9895226068655787,1.719132682806045,2.2599125309251127,1.3145655094151214,16.794320542817434
s_wale,-1.0,-0.01299156,0.38038025,0.6650435045525676,2724.67875971,907.52388669,3.0023218117681565,60.03856294,0.001520339542267462,0.0022705314674322245,0.002658108398896623,0.010076376916965168,0.020823081431224334,1.9759329888650048,1.7050913901474072,2.2467745875826024,1.3176857267388853,17.188196059618782
s_wale,1.5,0.01948734,0.37651405,0.6582839759037981,3038.78512856,968.77409709,3.136732430901994,66.85189696,0.0022745430064147316,0.0033917503050931975,0.003976731316206847,0.010931018908197606,0.025018763410434606,1.9926530901990702,1.7224831741649476,2.2628230062331927,1.3136981772435596,16.69538003581697
s_wale,-1.5,-0.01948734,0.38114754,0.6663850075107474,2661.38156772,895.62934292,2.9715211864800657,58.68155106,0.0022820011456516857,0.0034089345093298484,0.003989770865593493,0.010067182915143235,0.019998323033797113,1.9722779221068285,1.7014310362592178,2.2431248079544392,1.3183753911567255,17.28620609150707
s_wale,2.0,0.02598312,0.37573412,0.6569203736123918,3101.15258823,981.33923718,3.160122891999658,68.2177023,0.0030315316235272525,0.0045190137359051984,0.005300223697398857,0.01124585405658944,0.025869867977448197,1.9956724729840527,1.7257638164319093,2.265581129536196,1.3127990678471764,16.596248598434386
s_wale,-2.0,-0.02598312,0.38191308,0.6677234508302288,2597.9176457,883.86762181,2.939261017820675,57.32735793,0.003044789993292184,0.004549562744198578,0.005323404166661183,0.01011462964857556,0.019179537220756923,1.968523793716709,1.6977147279602534,2.2393328594731647,1.3190277627877136,17.38404260882621
s_course,0.25,0.00240076,0.37796944,0.6608285287981472,2842.74734923,932.04205287,3.0500204797374124,62.49827892,0.0006947456652822468,0.0009901815019479983,0.0012146689845543045,0.010420189745546553,0.023298516028530683,1.9862242915598742,1.717594882141777,2.2548537009779714,1.3127971702886378,16.823500211510737
s_course,-0.25,-0.00240076,0.37971222,0.6638755443013552,2858.62741423,931.35478299,3.069321666070934,63.02204654,0.0006956750375960302,0.0009909426968801216,0.0012162938665522243,0.010149077872261908,0.021683262978207402,1.9795373478860143,1.7068566567210255,2.252218039051003,1.3195121161361314,17.16060373627275
s_course,0.5,0.00480152,0.37710044,0.6593091996388226,2834.50761412,932.42315408,3.03993696608354,62.23880924,0.001388555433078026,0.001979592429845046,0.0024277016787273287,0.010620228024014279,0.02411346196475321,1.9893948270904493,1.7229346763409799,2.2558549778399186,1.3093096382682998,16.656181055796726
s_course,-0.5,-0.00480152,0.380586,0.6654032306452385,2866.26830542,931.04631501,3.078545351838071,63.2862263,0.0013922747679874772,0.0019826476050221653,0.0024342044335963903,0.01008185241449683,0.0208844632592413,1.9760265249888858,1.7014573756069324,2.2505956743708393,1.3227458452011012,17.330427941128608
s_course,1.0,0.00960304,0.3753673,0.6562790383739299,2817.43278761,933.26639893,3.018894488047804,61.72503955,0.002773339974577429,0.003956087863773986,0.004848810462711203,0.011136825446267387,0.025754893989535264,1.9953745864319496,1.7335557003897006,2.2571934724741984,1.3020599637881753,16.323904683034137
s_course,-1.0,-0.00960304,0.38233827,0.6684668381320161,2880.95833609,930.49431489,3.0961589877425286,63.81892424,0.002788231804351878,0.003968315140333499,0.004874846816234806,0.010089562851243062,0.019309255185130783,1.9686835068780306,1.690597073413733,2.246769940342328,1.3289801429772645,17.672716109368903
s_course,1.5,0.014404560000000002,0.37364064,0.6532602065140456,2799.57834087,934.22642228,2.9966807554399586,61.21869556,0.004154288953430118,0.00592944561485302,0.007263213283321588,0.011790041060846712,0.027408468589594722,2.0008530676128427,1.7441028233793867,2.2576033118462986,1.2944209948998016,15.994635468666171
s_course,-1.5,-0.014404560000000002,0.38409678,0.6715413554162094,2894.87537818,930.02222087,3.1126948509595347,64.35712783,0.004187849838137966,0.005956971005150202,0.007321889958522227,0.010286613246325042,0.017772032997476723,1.9609300719673435,1.679653653258028,2.242206490676659,1.3349219265099361,18.018644879159538
s_course,2.0,0.01920608,0.37192052,0.6502528089610681,2780.97196814,935.31437799,2.973301847573793,60.72051795,0.0055313237603455655,0.007899597207104897,0.00967077270282856,0.012557314597069387,0.029071058796364836,2.005803863262951,1.7545778821492937,2.257029844376609,1.2863662920518695,15.668192124056915
s_course,-2.0,-0.01920608,0.38586144,0.6746266251449708,2908.04634094,929.62261608,3.12820093943341,64.90056492,0.0055911229686503505,0.007948607758500882,0.009775323543889521,0.010663954287212363,0.016942736614717825,1.952786506196952,1.668626080408427,2.236946931985477,1.340592094448112,18.36835060640874
pressure,0.25,2.5,0.378883,0.6624257651005553,2850.65026596,932.58472983,3.0567198612394635,62.77326778,6.470844876332802e-05,9.75065746501464e-05,0.00011313398511021678,0.010259859598487062,0.022441806859076655,1.9825599070365287,1.7117967698186316,2.253323044254426,1.3163496298063293,16.99449646746359
pressure,-0.25,-2.5,0.37879707,0.6622755280986442,2850.92387079,930.78944642,3.0629095352930955,62.74546188,6.480165233036546e-05,9.766165163459279e-05,0.00011329693896195864,0.010265359583214853,0.02253467001941896,1.9833145299949404,1.712673096202893,2.253955963786988,1.3160456416254531,16.988788419902704
pressure,0.5,5.0,0.37892598,0.6625009098269854,2850.51275427,933.48467415,3.0536256600737253,62.78712937,0.00012932338251748146,0.00019485494527982997,0.0002261044718541954,0.01025767863470406,0.022395440315629022,1.9821820087492603,1.7113568130935166,2.2530072044050042,1.3165034825977517,16.99737763511187
pressure,-0.5,-5.0,0.37875412,0.6622004358231632,2851.05995284,929.89411214,3.066004952196922,62.73151693,0.00012969870164659613,0.00019548138402415973,0.0002267606666722869,0.010268681518434566,0.022581175809445818,1.9836909414884567,1.7131088391748293,2.254273043802084,1.3158959852708034,16.98596080900958
pressure,1.0,10.0,0.37901197,0.6626512517307946,2850.2363176,935.28913181,3.0474387231295372,62.81477263,0.00025827479469139327,0.00038908909596650223,0.0004515586037896508,0.010254446245142096,0.02230286056403752,1.9814245104006067,1.7104727513425446,2.2523762694586686,1.3168150546045154,17.003186611714288
