factor,mm,delta_abs,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
baseline,0.0,0.0,0.16416714,0.27431553236885703,2167.27452118,1947.49040301,1.1128550455654656,91.60034986,0.0,0.0,0.0,nan,nan,0.8057985464902154,0.7678899637471213,0.8437071292333096,1.0987344138686466,0.06363469072047104
R,2.5,0.0025,0.1652834,0.2750318371284109,2171.74403191,1950.83608556,1.1132375743842093,92.07545942,0.0019088725010010762,0.0023989791531190026,0.00044718168803455397,nan,nan,0.8040974044657108,0.7661574106827533,0.8420373982486682,1.0990396836314553,0.06408785579440969
R,-2.5,-0.0025,0.16305328,0.27359724506732763,2162.80536784,1944.14517672,1.1124711229070379,91.1258694,0.0019079361560132937,0.0023987003018718744,0.0004483780332015585,nan,nan,0.8075067999058145,0.7696300026355058,0.8453835971761233,1.0984285881283322,0.06318297466604873
R,5.0,0.005,0.16640205,0.2757461670474152,2176.21388399,1954.18220854,1.1136187170672704,92.55119696,0.0038186760551794496,0.004798219030692449,0.0008931582493168607,nan,nan,0.8024036669560981,0.7644329101380553,0.8403744237741408,1.0993435952703432,0.06454169738089936
R,-5.0,-0.005,0.16194182,0.2728769504870596,2158.33658869,1940.80042321,1.1120857986624946,90.65202052,0.003814938093601498,0.0047971113719613235,0.0008979759846749561,nan,nan,0.8092222115238059,0.7713780928292934,0.8470663302183185,1.098120802357003,0.0627331400900164
R,10.0,0.01,0.1686465,0.27716896877933117,2185.15453524,1960.87570541,1.1143768721348433,93.50454679,0.007641075680487503,0.009597533716038678,0.0017815415886782622,nan,nan,0.7990370334846679,0.7610064962475215,0.8370675707218143,1.0999479963040335,0.06545250042232029
R,-10.0,-0.01,0.15972614,0.27143030329905476,2149.40023278,1934.11240812,1.1113109164473354,89.70622537,0.0076261309724843405,0.009593125223825662,0.0018008469453152979,nan,nan,0.8126743351141311,0.7748970442319405,0.8504516259963217,1.0975027357850735,0.06183650168266174
R,15.0,0.015,0.17090043,0.2785840305516211,2194.09634522,1967.57076592,1.115129571562871,94.46038369,0.01146718962416545,0.014397956360542937,0.002665216086193123,nan,nan,0.7956983877706632,0.7576102781402886,0.8337864974010376,1.1005480277376112,0.06636942522436298
R,-15.0,-0.015,0.15752017,0.2699755042355138,2140.46560219,1927.42649987,1.1105303379062024,88.76297999,0.011433566982256727,0.014388030650526837,0.0027086702332653288,nan,nan,0.8161555070804791,0.7784476049826392,0.853863409178319,1.0968797433673931,0.06094474157683344
R,20.0,0.02,0.17316378,0.2799914434570778,2203.03918437,1974.26726897,1.1158768718884515,95.41869261,0.015297007587529861,0.01919946393914417,0.003544239194694414,nan,nan,0.7923874159056089,0.7542440238178914,0.8305308079933265,1.1011433723919757,0.06729049195497191
R,-20.0,-0.02,0.15532397,0.26851244513034056,2131.53285699,1920.74284488,1.1097440048634772,87.82230015,0.015237234820387179,0.019181838885302484,0.0036215093271336966,nan,nan,0.8196664032487903,0.7820304812399769,0.8573023252576036,1.0962518032523192,0.06005738908653716
