face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1378.0311,380.7158,4.0493,1232.6091,1378.0475,380.6994,1378.0311,380.7158
1,1352.4195,386.3930,-1.7285,1206.5578,1352.4226,386.3899,1352.4195,386.3930
2,1418.8845,419.0261,-0.4068,1262.6429,1418.8847,419.0259,1418.8845,419.0261
3,1395.2578,411.2743,0.1156,1241.7960,1395.2578,411.2743,1395.2578,411.2743
4,1218.0835,305.7426,2.6507,1097.6370,1218.0912,305.7349,1218.0835,305.7426
5,1196.8190,290.0306,16.5477,1081.7582,1197.1209,289.7288,1196.8190,290.0306
6,1157.0944,283.7720,4.8470,1044.5637,1157.1213,283.7451,1157.0944,283.7720
7,1314.7519,334.6369,5.1131,1183.4983,1314.7785,334.6102,1314.7519,334.6369
8,1399.6841,356.6518,-5.5144,1259.8442,1399.7132,356.6227,1399.6841,356.6518
9,1370.3209,346.4973,-5.8453,1234.1515,1370.3543,346.4639,1370.3209,346.4973
10,1376.6620,355.3721,2.3827,1237.8519,1376.6676,355.3666,1376.6620,355.3721
11,1344.9270,354.0917,2.8753,1207.4795,1344.9353,354.0834,1344.9270,354.0917
12,1388.4347,342.9936,2.7837,1252.6750,1388.4421,342.9862,1388.4347,342.9936
13,1284.0532,340.9076,-6.3021,1152.1225,1284.0954,340.8655,1284.0532,340.9076
14,1011.9125,240.1855,1.9618,915.7624,1011.9174,240.1805,1011.9125,240.1855
15,881.3339,206.4547,-5.0406,798.4320,881.3716,206.4170,881.3339,206.4547
16,1130.7538,302.3793,-7.0369,1014.0362,1130.8135,302.3195,1130.7538,302.3793
17,1333.0544,380.0841,1.1260,1189.4658,1333.0557,380.0827,1333.0544,380.0841
18,1012.8542,242.8356,-16.0197,916.3273,1013.1874,242.5025,1012.8542,242.8356
19,1274.7084,331.4261,-9.8109,1145.6622,1274.8105,331.3241,1274.7084,331.4261
20,1172.4837,309.9289,-7.7202,1052.4097,1172.5528,309.8598,1172.4837,309.9289
