face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1275.2693,419.8148,1.5800,1125.6939,1275.2722,419.8119,1275.2693,419.8148
1,1218.0320,475.0097,-9.9733,1063.4649,1218.1659,474.8758,1218.0320,475.0097
2,1310.2179,505.2742,3.2763,1144.5462,1310.2313,505.2609,1310.2179,505.2742
3,1294.9201,502.8467,8.2680,1130.8101,1295.0064,502.7604,1294.9201,502.8467
4,1180.1943,336.0937,40.0906,1055.4541,1182.0941,334.1939,1180.1943,336.0937
5,1212.3341,303.3831,56.8077,1097.1212,1215.8707,299.8465,1212.3341,303.3831
6,1172.1267,339.5666,54.0669,1048.7807,1175.6231,336.0702,1172.1267,339.5666
7,1203.9035,321.6125,-1.4909,1079.6456,1203.9061,321.6100,1203.9035,321.6125
8,1175.0568,354.3486,-78.2241,1052.7576,1182.4460,346.9594,1175.0568,354.3486
9,1126.5706,360.8387,-87.4039,1007.8561,1136.4205,350.9888,1126.5706,360.8387
10,1194.3673,348.3490,-44.8442,1066.6942,1196.7377,345.9787,1194.3673,348.3490
11,1258.7517,379.8243,-1.2975,1118.3125,1258.7536,379.8224,1258.7517,379.8243
12,1221.5807,304.3096,-56.6624,1105.7834,1225.0677,300.8227,1221.5807,304.3096
13,1079.0750,410.7979,-43.7029,946.3645,1081.9209,407.9520,1079.0750,410.7979
14,1067.0644,363.2050,70.6315,947.6010,1074.0822,356.1872,1067.0644,363.2050
15,868.2983,377.4397,65.9108,762.6960,876.9946,368.7435,868.2983,377.4397
16,1031.8115,433.7912,12.9632,897.6208,1032.0923,433.5103,1031.8115,433.7912
17,1261.5369,468.2636,14.9198,1104.8448,1261.8174,467.9831,1261.5369,468.2636
18,824.9960,383.2440,-14.8519,715.5287,825.4948,382.7452,824.9960,383.2440
19,1065.5300,412.5408,-56.1491,935.6429,1070.3230,407.7478,1065.5300,412.5408
20,1020.9405,426.8641,-9.3934,888.2535,1021.0890,426.7156,1020.9405,426.8641
21,1123.2925,323.2659,97.6294,1015.7555,1135.0341,311.5243,1123.2925,323.2659
22,936.2421,385.4485,-3.1833,815.0320,936.2605,385.4301,936.2421,385.4485
23,1011.1571,320.8754,95.9515,910.2551,1024.2465,307.7860,1011.1571,320.8754
24,1152.2638,444.0239,-24.5457,1007.4939,1153.1135,443.1743,1152.2638,444.0239
25,957.8100,409.6360,34.7099,834.5433,959.9991,407.4469,957.8100,409.6360
26,998.2831,395.3022,61.7623,877.2988,1004.5443,389.0410,998.2831,395.3022
27,1122.2470,405.4868,54.5310,988.7984,1126.3719,401.3619,1122.2470,405.4868
28,824.3451,387.2040,5.7925,714.4107,824.4218,387.1272,824.3451,387.2040
29,1166.8482,408.2727,54.8794,1029.9826,1170.7979,404.3230,1166.8482,408.2727
30,1137.4999,341.3397,-51.1593,1014.8876,1140.7738,338.0658,1137.4999,341.3397
31,1213.5405,304.0181,-57.3547,1098.1976,1217.1431,300.4156,1213.5405,304.0181
32,1251.3909,397.5276,-35.3690,1109.1880,1252.8535,396.0651,1251.3909,397.5276
33,1061.7952,354.8106,-63.3702,942.6615,1067.4304,349.1754,1061.7952,354.8106
34,1222.8740,384.0043,-53.5132,1087.1441,1226.2740,380.6044,1222.8740,384.0043
35,966.6671,351.8211,-101.0691,865.3175,982.8548,335.6335,966.6671,351.8211
36,1251.7443,412.1898,12.8550,1105.1262,1251.9411,411.9930,1251.7443,412.1898
37,1237.8896,296.5284,-18.1802,1119.9205,1238.2406,296.1774,1237.8896,296.5284
38,1253.5881,338.9408,-0.7833,1123.1535,1253.5888,338.9401,1253.5881,338.9408
39,1226.8031,345.2321,47.2066,1098.8106,1229.3237,342.7114,1226.8031,345.2321
40,1097.7804,331.1001,105.0649,992.1642,1111.9177,316.9628,1097.7804,331.1001
41,1016.5435,371.3827,-65.4714,898.1195,1023.1206,364.8057,1016.5435,371.3827
42,1313.4660,507.9269,0.7719,1147.1878,1313.4668,507.9261,1313.4660,507.9269
43,1300.3999,495.0978,7.8404,1136.8910,1300.4762,495.0215,1300.3999,495.0978
44,1253.8893,423.6061,-36.6835,1106.5994,1255.5069,421.9885,1253.8893,423.6061
45,860.8247,379.4413,-60.5418,754.5583,868.3220,371.9440,860.8247,379.4413
46,1162.6305,442.9243,30.8020,1017.7331,1163.9464,441.6085,1162.6305,442.9243
