face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,2251.0662,211.9915,-4.7437,2152.9283,2251.0772,211.9804,2251.0662,211.9915
1,2218.8086,252.3825,-0.2233,2104.0010,2218.8086,252.3824,2218.8086,252.3825
2,2266.6233,294.3426,1.8623,2134.7284,2266.6250,294.3408,2266.6233,294.3426
3,2260.9297,288.8524,5.5298,2131.2568,2260.9452,288.8369,2260.9297,288.8524
4,2229.4871,132.4184,11.6682,2166.4096,2229.5520,132.3535,2229.4871,132.4184
5,2244.0176,100.7180,11.4628,2195.4817,2244.0789,100.6567,2244.0176,100.7180
6,2229.6738,132.9686,16.0219,2166.4301,2229.7963,132.8462,2229.6738,132.9686
7,2222.3955,118.3568,-10.4378,2165.7196,2222.4473,118.3050,2222.3955,118.3568
8,2181.8808,146.8950,-43.8530,2113.6328,2182.8253,145.9504,2181.8808,146.8950
9,2156.0674,140.8501,-44.0331,2090.5980,2157.0291,139.8884,2156.0674,140.8501
10,2198.6542,135.9173,-28.2215,2134.5041,2199.0402,135.5312,2198.6542,135.9173
11,2245.9653,179.4596,-11.6823,2161.9240,2246.0314,179.3935,2245.9653,179.4596
12,2209.6182,105.9734,-43.6144,2159.9048,2210.5220,105.0695,2209.6182,105.9734
13,2148.5282,177.9826,-12.0992,2065.4030,2148.6025,177.9083,2148.5282,177.9826
14,2189.9322,134.7082,31.5144,2126.4823,2190.4153,134.2251,2189.9322,134.7082
15,2106.5828,118.1223,47.0413,2051.6940,2107.6950,117.0101,2106.5828,118.1223
16,2149.8763,190.2855,19.2397,2061.6006,2150.0652,190.0966,2149.8763,190.2855
17,2249.1732,252.7406,5.8785,2134.0816,2249.1905,252.7233,2249.1732,252.7406
18,2060.4203,119.9176,15.1109,2003.3263,2060.5379,119.8000,2060.4203,119.9176
19,2139.4829,177.6360,-19.2853,2056.6984,2139.6724,177.4464,2139.4829,177.6360
20,2135.6798,181.5069,9.8929,2051.0305,2135.7299,181.4569,2135.6798,181.5069
21,2220.5304,104.9345,38.2146,2170.9761,2221.2204,104.2444,2220.5304,104.9345
22,2104.3295,125.4396,11.5684,2044.5960,2104.3971,125.3720,2104.3295,125.4396
