face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,6541.8439,17849.3608,9.2642,15640.5859,17849.3683,6541.8363,6541.8439,17849.3608
1,6557.0508,17925.8810,-7.8619,15709.5958,17925.8865,6557.0454,6557.0508,17925.8810
2,6577.1126,17959.5508,1.0954,15737.9126,17959.5509,6577.1124,6577.1126,17959.5508
3,6574.7447,17964.0511,1.8289,15742.4700,17964.0514,6574.7444,6574.7447,17964.0511
4,6501.5430,17782.9238,23.6263,15584.8539,17782.9733,6501.4935,6501.5430,17782.9238
5,6499.4489,17763.0680,35.0481,15566.7258,17763.1770,6499.3398,6499.4489,17763.0680
6,6506.6836,17818.0063,24.8568,15616.7860,17818.0609,6506.6289,6506.6836,17818.0063
7,6498.6703,17722.3748,14.8238,15528.8143,17722.3944,6498.6507,6498.6703,17722.3748
8,6514.6584,17732.1529,-14.1065,15535.4980,17732.1707,6514.6407,6514.6584,17732.1529
9,6514.4005,17750.0982,-21.2573,15552.2830,17750.1384,6514.3603,6514.4005,17750.0982
10,6512.1550,17736.9741,-1.1823,15540.3505,17736.9743,6512.1548,6512.1550,17736.9741
11,6529.5313,17804.5150,11.8009,15600.6671,17804.5274,6529.5189,6529.5313,17804.5150
12,6502.6875,17676.7878,3.5313,15485.7090,17676.7889,6502.6864,6502.6875,17676.7878
13,6523.2928,17843.1088,-21.2496,15637.6281,17843.1487,6523.2529,6523.2928,17843.1088
14,6510.4897,17885.5602,15.3898,15679.1803,17885.5810,6510.4689,6510.4897,17885.5602
15,6500.0241,17918.0901,-3.0624,15711.1513,17918.0909,6500.0233,6500.0241,17918.0901
16,6528.6896,17927.3523,-11.7965,15715.3444,17927.3645,6528.6774,6528.6896,17927.3523
17,6562.1084,17936.0198,4.4713,15718.2704,17936.0215,6562.1066,6562.1084,17936.0198
18,6498.7453,17873.9729,-26.1457,15670.2346,17874.0330,6498.6852,6498.7453,17873.9729
19,6527.2247,17850.0919,-25.6321,15643.5563,17850.1499,6527.1667,6527.2247,17850.0919
20,6525.2168,17904.1403,-17.2429,15694.2406,17904.1664,6525.1907,6525.2168,17904.1403
21,6499.2301,17836.5132,34.1011,15635.2512,17836.6158,6499.1275,6499.2301,17836.5132
22,6511.8243,17883.3851,-15.8898,15676.9453,17883.4073,6511.8021,6511.8243,17883.3851
23,6496.8661,17857.9031,24.0839,15655.5200,17857.9542,6496.8151,6496.8661,17857.9031
24,6544.8215,17895.5227,-13.1615,15683.1738,17895.5380,6544.8062,6544.8215,17895.5227
25,6515.5661,17924.6948,-7.9529,15714.8955,17924.7004,6515.5606,6515.5661,17924.6948
26,6515.9601,17924.4674,3.4256,15714.6170,17924.4684,6515.9590,6515.9601,17924.4674
27,6526.6045,17910.2627,11.2086,15699.7214,17910.2737,6526.5934,6526.6045,17910.2627
28,6500.4847,17896.3661,-22.2672,15690.8462,17896.4096,6500.4412,6500.4847,17896.3661
29,6534.7079,17911.0232,16.1262,15699.1922,17911.0461,6534.6850,6534.7079,17911.0232
30,6500.8112,17728.9995,-8.6007,15534.6488,17729.0061,6500.8046,6500.8112,17728.9995
31,6501.1896,17675.5554,2.3745,15484.7863,17675.5559,6501.1891,6501.1896,17675.5554
32,6534.5389,17799.6108,-1.1913,15595.3229,17799.6109,6534.5387,6534.5389,17799.6108
33,6503.5210,17765.7237,-19.0349,15568.4955,17765.7558,6503.4888,6503.5210,17765.7237
34,6528.6106,17776.0180,-7.8088,15574.2433,17776.0234,6528.6052,6528.6106,17776.0180
35,6501.9109,17765.5630,-36.2435,15568.6835,17765.6796,6501.7943,6501.9109,17765.5630
36,6539.7547,17859.5536,11.0163,15650.4093,17859.5644,6539.7440,6539.7547,17859.5536
37,6499.5388,17688.0403,17.2405,15496.6952,17688.0669,6499.5122,6499.5388,17688.0403
38,6513.7822,17749.5558,17.8422,15551.8586,17749.5842,6513.7539,6513.7822,17749.5558
39,6511.9103,17802.4652,29.2121,15601.5143,17802.5408,6511.8347,6511.9103,17802.4652
40,6499.8122,17856.6949,32.0197,15653.9779,17856.7852,6499.7219,6499.8122,17856.6949
41,6513.3203,17803.3040,-24.2515,15602.0550,17803.3561,6513.2682,6513.3203,17803.3040
42,6578.5319,17960.0618,0.2834,15738.1722,17960.0619,6578.5319,6578.5319,17960.0618
43,6572.0744,17951.5720,3.0114,15731.2447,17951.5728,6572.0736,6572.0744,17951.5720
44,6544.1901,17832.0752,-5.6776,15624.1139,17832.0780,6544.1872,6544.1901,17832.0752
45,6500.3219,17840.1179,-35.0874,15638.4518,17840.2265,6500.2133,6500.3219,17840.1179
46,6542.6812,17933.8153,2.7527,15719.1983,17933.8160,6542.6806,6542.6812,17933.8153
47,6579.0991,17966.5367,0.5655,15744.1214,17966.5367,6579.0991,6579.0991,17966.5367
48,6578.2804,17966.6730,0.8004,15744.3737,17966.6731,6578.2803,6578.2804,17966.6730
49,6567.4360,17956.5906,-4.5695,15736.6344,17956.5924,6567.4342,6567.4360,17956.5906
50,6565.5960,17940.0705,5.2637,15721.5141,17940.0729,6565.5936,6565.5960,17940.0705
51,6502.0497,17719.3155,28.6385,15525.5075,17719.3887,6501.9766,6502.0497,17719.3155
52,6559.0754,17906.4231,-10.5341,15691.1508,17906.4329,6559.0656,6559.0754,17906.4231
53,6528.3522,17927.4164,-9.3261,15715.4514,17927.4240,6528.3446,6528.3522,17927.4164
54,6528.1509,17905.8835,13.9585,15695.4036,17905.9006,6528.1338,6528.1509,17905.8835
55,6509.9408,17861.8667,-17.2569,15657.1648,17861.8930,6509.9145,6509.9408,17861.8667
56,6509.8537,17758.3814,18.1564,15560.6822,17758.4107,6509.8244,6509.8537,17758.3814
57,6513.9019,17774.0656,25.1834,15574.7138,17774.1220,6513.8456,6513.9019,17774.0656
58,6525.1207,17907.3547,-5.4871,15697.2288,17907.3574,6525.1181,6525.1207,17907.3547
59,6536.0913,17805.4351,-9.3718,15600.5231,17805.4429,6536.0835,6536.0913,17805.4351
60,6515.1227,17863.6277,28.3416,15658.0555,17863.6984,6515.0519,6515.1227,17863.6277
61,6541.3934,17846.3231,-16.9263,15637.8424,17846.3484,6541.3680,6541.3934,17846.3231
62,6528.7536,17896.1113,21.4862,15686.2203,17896.1519,6528.7130,6528.7536,17896.1113
63,6529.7714,17880.3866,-19.6775,15671.3900,17880.4207,6529.7372,6529.7714,17880.3866
64,6515.6094,17759.0584,-21.5381,15560.4506,17759.0996,6515.5682,6515.6094,17759.0584
65,6504.1684,17724.3405,0.9964,15529.7894,17724.3405,6504.1683,6504.1684,17724.3405
66,6566.1440,17917.7827,-4.3213,15700.6528,17917.7844,6566.1423,6566.1440,17917.7827
67,6566.6066,17948.0141,4.2044,15728.7647,17948.0157,6566.6051,6566.6066,17948.0141
68,6562.2268,17942.3782,2.7881,15724.1796,17942.3788,6562.2261,6562.2268,17942.3782
69,6535.5809,17921.8558,2.5541,15709.1379,17921.8563,6535.5803,6535.5809,17921.8558
70,6515.2545,17834.7049,-30.8376,15631.0732,17834.7889,6515.1705,6515.2545,17834.7049
71,6559.0686,17942.4756,-0.9714,15724.7539,17942.4756,6559.0685,6559.0686,17942.4756
72,6514.6548,17872.0994,-26.6446,15666.0217,17872.1619,6514.5922,6514.6548,17872.0994
73,6565.1788,17944.2070,-2.5558,15725.4325,17944.2075,6565.1782,6565.1788,17944.2070
74,6555.0617,17928.3319,-8.4448,15712.1867,17928.3382,6555.0554,6555.0617,17928.3319
75,6522.3362,17904.7475,6.8299,15695.2289,17904.7516,6522.3321,6522.3362,17904.7475
76,6520.4293,17773.8716,1.1139,15573.4788,17773.8718,6520.4292,6520.4293,17773.8716
77,6564.1499,17913.8932,-7.1029,15697.3343,17913.8977,6564.1454,6564.1499,17913.8932
78,6545.7506,17840.6011,6.9255,15631.8238,17840.6053,6545.7464,6545.7506,17840.6011
79,6561.4797,17890.6418,5.0758,15676.0669,17890.6441,6561.4775,6561.4797,17890.6418
80,6523.3137,17889.1479,12.9678,15680.5362,17889.1627,6523.2989,6523.3137,17889.1479
81,6529.8730,17823.2083,-22.8859,15618.0754,17823.2546,6529.8267,6529.8730,17823.2083
82,6502.2759,17694.5510,19.7900,15502.3562,17694.5859,6502.2409,6502.2759,17694.5510
83,6545.9165,17871.6147,-14.6253,15660.7209,17871.6336,6545.8977,6545.9165,17871.6147
84,6535.9388,17892.6688,-13.8907,15681.8776,17892.6858,6535.9218,6535.9388,17892.6688
85,6511.8554,17906.9224,-1.6424,15698.8805,17906.9227,6511.8551,6511.8554,17906.9224
86,6500.3842,17877.8193,28.4620,15673.5814,17877.8905,6500.3130,6500.3842,17877.8193
87,6498.9315,17780.6941,36.1468,15583.2474,17780.8099,6498.8157,6498.9315,17780.6941
88,6523.8621,17894.7988,-13.3737,15685.7240,17894.8145,6523.8464,6523.8621,17894.7988
89,6567.6958,17926.3253,-3.6198,15708.3785,17926.3265,6567.6947,6567.6958,17926.3253
90,6550.4953,17902.4998,10.3415,15688.8039,17902.5092,6550.4858,6550.4953,17902.4998
91,6524.9977,17835.0871,25.5939,15629.9069,17835.1450,6524.9398,6524.9977,17835.0871
92,6563.3172,17922.0587,3.3252,15705.0692,17922.0597,6563.3162,6563.3172,17922.0587
93,6549.7563,17887.8178,-15.1264,15675.2407,17887.8380,6549.7361,6549.7563,17887.8178
94,6565.9202,17954.0416,0.9823,15734.4882,17954.0417,6565.9201,6565.9202,17954.0416
95,6546.1226,17947.1146,0.0258,15731.0722,17947.1146,6546.1226,6546.1226,17947.1146
96,6552.9485,17933.0186,7.3011,15716.8795,17933.0232,6552.9438,6552.9485,17933.0186
97,6556.4865,17896.3031,-10.7159,15682.1126,17896.3133,6556.4764,6556.4865,17896.3031
98,6550.4780,17920.9527,7.2733,15706.0071,17920.9573,6550.4734,6550.4780,17920.9527
99,6514.3840,17898.8319,19.7385,15690.9747,17898.8661,6514.3498,6514.3840,17898.8319
100,6503.7003,17720.7813,0.3413,15526.5436,17720.7813,6503.7003,6503.7003,17720.7813
101,6499.6152,17733.0365,-13.0221,15538.6028,17733.0516,6499.6001,6499.6152,17733.0365
102,6515.4504,17744.2920,-17.3010,15546.6986,17744.3187,6515.4238,6515.4504,17744.2920
103,6502.6313,17704.4081,-24.1124,15511.5049,17704.4600,6502.5794,6502.6313,17704.4081
104,6512.4699,17816.4860,29.3448,15614.5026,17816.5622,6512.3937,6512.4699,17816.4860
105,6515.1967,17757.0501,16.6191,15558.6236,17757.0746,6515.1722,6515.1967,17757.0501
106,6525.2334,17873.7387,-17.7304,15665.8811,17873.7664,6525.2057,6525.2334,17873.7387
107,6508.3078,17894.7358,14.0440,15688.0777,17894.7531,6508.2904,6508.3078,17894.7358
108,6505.4595,17773.5869,24.3370,15575.5521,17773.6395,6505.4069,6505.4595,17773.5869
109,6526.5230,17934.4896,3.5003,15722.3280,17934.4907,6526.5219,6526.5230,17934.4896
110,6530.7578,17872.9800,-19.4048,15664.3301,17873.0132,6530.7246,6530.7578,17872.9800
111,6499.9145,17701.4238,23.7711,15509.1343,17701.4743,6499.8640,6499.9145,17701.4238
112,6499.7849,17823.6335,35.5105,15623.1596,17823.7449,6499.6736,6499.7849,17823.6335
113,6548.8500,17890.2959,8.1181,15677.6738,17890.3017,6548.8442,6548.8500,17890.2959
114,6558.2800,17903.4635,11.1146,15688.5145,17903.4744,6558.2691,6558.2800,17903.4635
115,6500.0465,17799.7994,36.3724,15600.8945,17799.9165,6499.9294,6500.0465,17799.7994
116,6529.2742,17792.7480,-13.2797,15589.7435,17792.7637,6529.2585,6529.2742,17792.7480
117,6505.9965,17749.3723,-20.4051,15552.8809,17749.4094,6505.9595,6505.9965,17749.3723
118,6522.4451,17810.8843,-18.7628,15607.7043,17810.9155,6522.4139,6522.4451,17810.8843
119,6530.8770,17843.6198,12.9658,15636.9159,17843.6346,6530.8621,6530.8770,17843.6198
120,6554.4229,17890.8999,4.6408,15677.3818,17890.9018,6554.4210,6554.4229,17890.8999
