face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,8632.0806,26839.5791,-44.1534,23731.8406,26839.6861,8631.9735,8632.0806,26839.5791
1,9198.5935,28199.1326,-475.4900,24921.6997,28211.0244,9186.7018,9198.5935,28199.1326
2,7087.9106,25628.4514,61.8122,22921.9390,25628.6575,7087.7045,7087.9106,25628.4514
3,6930.4998,25636.6641,96.5725,22970.0557,25637.1626,6930.0012,6930.4998,25636.6641
4,8785.2399,25378.8205,225.5200,22326.1847,25381.8850,8782.1754,8785.2399,25378.8205
5,8687.9444,25048.6005,384.1039,22039.3858,25057.6133,8678.9317,8687.9444,25048.6005
6,9182.7607,25166.1708,263.5043,22062.9243,25170.5138,9178.4177,9182.7607,25166.1708
7,8679.1182,25539.0744,87.4653,22493.0594,25539.5282,8678.6644,8679.1182,25539.0744
8,8730.9863,25669.5524,-63.3545,22606.3613,25669.7893,8730.7494,8730.9863,25669.5524
9,8708.7111,25719.6557,-113.7459,22658.2457,25720.4162,8707.9506,8708.7111,25719.6557
10,8701.5056,25602.7209,-29.3887,22548.5230,25602.7720,8701.4545,8701.5056,25602.7209
11,8987.7831,25486.4019,14.0107,22389.0880,25486.4138,8987.7712,8987.7831,25486.4019
12,8688.0799,25553.7909,47.0397,22504.9377,25553.9221,8687.9487,8688.0799,25553.7909
13,8739.3160,25937.0244,-216.7715,22859.8774,25939.7563,8736.5841,8739.3160,25937.0244
14,6942.8560,20911.9263,199.5120,18451.0930,20914.7752,6940.0071,6942.8560,20911.9263
15,8756.2717,27079.1894,-529.9706,23951.7151,27094.5054,8740.9556,8756.2717,27079.1894
16,6770.9126,19477.8130,1295.3944,17273.7381,19608.5263,6640.1993,6770.9126,19477.8130
17,6832.9064,24804.1168,-115.1206,22192.0790,24804.8543,6832.1690,6832.9064,24804.1168
18,9028.9204,27398.9774,-607.8907,24206.4201,27419.0714,9008.8264,9028.9204,27398.9774
19,7009.7465,21988.6184,1176.4576,19561.5286,22080.4556,6917.9093,7009.7465,21988.6184
20,7207.8771,21714.2826,874.3283,19215.6975,21766.7900,7155.3697,7207.8771,21714.2826
21,8187.3288,19988.8728,1279.1978,17545.3970,20125.9363,8050.2654,8187.3288,19988.8728
22,8673.4791,26188.8059,-303.7199,23113.0152,26194.0709,8668.2141,8673.4791,26188.8059
23,8436.8453,26447.9155,-536.3681,23417.9140,26463.8744,8420.8864,8436.8453,26447.9155
24,8798.9357,26166.1706,-290.9850,23067.4948,26171.0446,8794.0617,8798.9357,26166.1706
25,8695.0988,26413.6293,-390.6000,23325.3755,26422.2358,8686.4924,8695.0988,26413.6293
26,8669.2873,26563.4026,-478.4282,23477.0486,26576.1850,8656.5049,8669.2873,26563.4026
27,7645.1804,25724.1327,138.1329,22881.6825,25725.1880,7644.1250,7645.1804,25724.1327
28,8658.6350,26262.7575,-333.4602,23187.0297,26269.0716,8652.3208,8658.6350,26262.7575
29,7418.1285,25517.8551,-123.0476,22736.3202,25518.6916,7417.2920,7418.1285,25517.8551
30,7968.0338,25526.8541,86.5833,22621.5273,25527.2811,7967.6069,7968.0338,25526.8541
31,8275.3360,25827.5796,198.2385,22845.8103,25829.8183,8273.0973,8275.3360,25827.5796
32,8482.8085,26554.1956,11.0325,23491.0526,26554.2023,8482.8017,8482.8085,26554.1956
33,7128.1874,24289.3358,721.8244,21661.1875,24319.6433,7097.8799,7128.1874,24289.3358
34,8288.0434,26549.6385,-16.1116,23527.2436,26549.6527,8288.0292,8288.0434,26549.6385
35,7505.6930,24133.7198,506.1540,21410.2813,24149.1128,7490.3000,7505.6930,24133.7198
36,8910.7997,26851.7712,-8.2581,23688.5926,26851.7750,8910.7959,8910.7997,26851.7712
37,8360.9902,26045.3150,180.0057,23034.6950,26047.1471,8359.1581,8360.9902,26045.3150
38,8425.0676,26325.3798,143.9237,23286.8294,26326.5369,8423.9104,8425.0676,26325.3798
39,8656.5644,26576.1263,170.6296,23478.8414,26577.7509,8654.9398,8656.5644,26576.1263
40,8382.4534,25825.9031,49.7610,22820.2934,25826.0450,8382.3115,8382.4534,25825.9031
41,8695.6141,25903.3117,-212.4105,22836.0551,25905.9333,8692.9925,8695.6141,25903.3117
42,7423.9687,26228.2921,-94.6182,23416.8200,26228.7682,7423.4927,7423.9687,26228.2921
43,7663.3511,25540.7064,32.2353,22700.8887,25540.7645,7663.2930,7663.3511,25540.7064
44,8908.5724,25809.9210,-159.1917,22708.1739,25811.4203,8907.0732,8908.5724,25809.9210
45,8670.1398,26006.2895,-251.1152,22939.2552,26009.9261,8666.5032,8670.1398,26006.2895
46,7645.9189,21434.3017,653.8932,18849.0626,21465.2421,7614.9784,7645.9189,21434.3017
47,7774.6717,25982.6810,-244.2313,23102.3238,25985.9564,7771.3964,7774.6717,25982.6810
48,7306.2468,25628.9235,-80.9992,22869.0053,25629.2816,7305.8887,7306.2468,25628.9235
49,8903.1492,26427.0588,-290.4774,23294.3038,26431.8725,8898.3356,8903.1492,26427.0588
50,8085.2191,25852.9261,-38.4619,22906.8205,25853.0094,8085.1358,8085.2191,25852.9261
51,8708.1032,25392.5232,229.2766,22352.8139,25395.6733,8704.9531,8708.1032,25392.5232
52,9097.5129,28135.2608,-569.6843,24887.1526,28152.2928,9080.4810,9097.5129,28135.2608
53,7854.6707,22441.0213,500.5605,19742.8503,22458.1789,7837.5131,7854.6707,22441.0213
54,8763.4950,26502.2765,-480.7653,23401.0757,26515.2969,8750.4746,8763.4950,26502.2765
55,8667.3329,26093.0028,-272.4896,23022.4556,26097.2627,8663.0729,8667.3329,26093.0028
56,8738.7437,25495.5940,101.9444,22441.5389,25496.2142,8738.1235,8738.7437,25495.5940
