motif,material,E1,E2,E2_over_E1,nu,pressure,sf_wale,sf_course,knit_dir,crown_height,max_stress,mean_stress,boundary_reaction_mean
1,new,10300.0,13400.0,1.3009708737864079,0.58,200.0,1.1,1.1,0.0,0.01807996,3004.01409744,2999.23925756,182.693425
1,new,10300.0,13400.0,1.3009708737864079,0.58,400.0,1.1,1.1,0.0,0.03563345,3063.18695212,3044.60721924,184.58832354
1,new,10300.0,13400.0,1.3009708737864079,0.58,600.0,1.1,1.1,0.0,0.05227103,3155.414304,3115.32106229,187.49507459
1,new,10300.0,13400.0,1.3009708737864079,0.58,800.0,1.1,1.1,0.0,0.0677933,3273.69635483,3206.00184368,191.14065998
1,new,10300.0,13400.0,1.3009708737864079,0.58,1000.0,1.1,1.1,0.0,0.08215894,3411.44073876,3311.56513678,195.2711728
1,new,10300.0,13400.0,1.3009708737864079,0.58,1200.0,1.1,1.1,0.0,0.09542318,3563.27580052,3427.85036106,199.68357089
1,old,5000.0,12507.0,2.5014,0.198,200.0,1.1,1.1,0.0,0.04592923,1396.64845239,1378.46575424,73.41394148
1,old,5000.0,12507.0,2.5014,0.198,400.0,1.1,1.1,0.0,0.08478132,1551.2899796,1490.48923412,77.43378857
1,old,5000.0,12507.0,2.5014,0.198,600.0,1.1,1.1,0.0,0.11617967,1745.5725852,1633.32036026,82.22451701
1,old,5000.0,12507.0,2.5014,0.198,800.0,1.1,1.1,0.0,0.14209364,1954.12990205,1788.2328305,87.03444949
1,old,5000.0,12507.0,2.5014,0.198,1000.0,1.1,1.1,0.0,0.16416714,2167.27452118,1947.49040301,91.60034986
1,old,5000.0,12507.0,2.5014,0.198,1200.0,1.1,1.1,0.0,0.18348457,2381.40569658,2107.93148088,95.84971322
2,new,7700.0,7600.0,0.987012987012987,0.65,200.0,1.1,1.1,0.0,0.02319145,2320.39949288,2314.8867712,142.06217144
2,new,7700.0,7600.0,0.987012987012987,0.65,400.0,1.1,1.1,0.0,0.04532581,2392.23190172,2371.07776753,144.41289158
2,new,7700.0,7600.0,0.987012987012987,0.65,600.0,1.1,1.1,0.0,0.06575224,2500.53230405,2455.70328438,147.86594244
2,new,7700.0,7600.0,0.987012987012987,0.65,800.0,1.1,1.1,0.0,0.08428519,2634.57237741,2560.26685329,151.99132208
2,new,7700.0,7600.0,0.987012987012987,0.65,1000.0,1.1,1.1,0.0,0.10102747,2785.76941561,2677.95637823,156.45338761
2,new,7700.0,7600.0,0.987012987012987,0.65,1200.0,1.1,1.1,0.0,0.11619468,2948.13948537,2804.01354025,161.02683646
2,old,5000.0,8000.0,1.6,0.198,200.0,1.1,1.1,0.0,0.0597218,967.62765074,945.40113469,54.68800874
2,old,5000.0,8000.0,1.6,0.198,400.0,1.1,1.1,0.0,0.10634568,1131.13821579,1061.61990369,58.95425022
2,old,5000.0,8000.0,1.6,0.198,600.0,1.1,1.1,0.0,0.14201516,1322.23248727,1199.21491885,63.42217908
2,old,5000.0,8000.0,1.6,0.198,800.0,1.1,1.1,0.0,0.17076993,1520.23243201,1342.68975187,67.48839026
2,old,5000.0,8000.0,1.6,0.198,1000.0,1.1,1.1,0.0,0.19504467,1719.38102353,1487.25740325,71.04445834
2,old,5000.0,8000.0,1.6,0.198,1200.0,1.1,1.1,0.0,0.21622945,1918.10790695,1631.39529641,74.10999184
