motif,material,E1,E2,E2_over_E1,nu,pressure,sf_wale,sf_course,knit_dir,crown_height,max_stress,mean_stress,boundary_reaction_mean
1,new,10300.0,13400.0,1.3009708737864079,0.58,200.0,1.0,1.0,0.0,0.1061922,574.54734205,487.13836719,27.32831163
1,new,10300.0,13400.0,1.3009708737864079,0.58,400.0,1.0,1.0,0.0,0.13422062,929.28309867,781.57703087,42.24215546
1,new,10300.0,13400.0,1.3009708737864079,0.58,600.0,1.0,1.0,0.0,0.15406717,1236.69504795,1033.40699576,54.10324665
1,new,10300.0,13400.0,1.3009708737864079,0.58,800.0,1.0,1.0,0.0,0.16999863,1518.73274521,1262.01411627,64.19322285
1,new,10300.0,13400.0,1.3009708737864079,0.58,1000.0,1.0,1.0,0.0,0.1835556,1784.34645929,1475.36410044,73.05570432
1,new,10300.0,13400.0,1.3009708737864079,0.58,1200.0,1.0,1.0,0.0,0.19549175,2038.27379539,1677.70021368,80.98846683
1,old,5000.0,12507.0,2.5014,0.198,200.0,1.0,1.0,0.0,0.14224517,513.14643949,417.083879,19.08308482
1,old,5000.0,12507.0,2.5014,0.198,400.0,1.0,1.0,0.0,0.18064415,836.19120137,675.40006569,28.98055691
1,old,5000.0,12507.0,2.5014,0.198,600.0,1.0,1.0,0.0,0.20818235,1120.26747465,900.02671938,36.58628258
1,old,5000.0,12507.0,2.5014,0.198,800.0,1.0,1.0,0.0,0.23052684,1384.37159645,1106.86340742,42.8829042
1,old,5000.0,12507.0,2.5014,0.198,1000.0,1.0,1.0,0.0,0.24972319,1636.19066087,1302.38568385,48.30386791
1,old,5000.0,12507.0,2.5014,0.198,1200.0,1.0,1.0,0.0,0.2667718,1879.76525759,1490.0164637,53.09966636
