pressure,crown_height,mean_stress,max_stress
200.0,0.1061922,487.13836719,574.54734205
250.0,0.11449042,566.91965659,670.14408108
300.0,0.12176289,641.93517808,760.38972899
350.0,0.12828214,713.2501286,846.49914087
400.0,0.13422062,781.57703087,929.28309867
450.0,0.13969518,847.42180779,1009.31606349
500.0,0.1447891,911.15983396,1087.02340008
550.0,0.14956406,973.07919401,1162.73093264
600.0,0.15406717,1033.40699576,1236.69504795
650.0,0.15833531,1092.32622728,1309.12196073
700.0,0.16239797,1149.98702731,1380.18057655
750.0,0.16627914,1206.51446766,1450.0113762
800.0,0.16999863,1262.01411627,1518.73274521
850.0,0.17357299,1316.5760864,1586.44558615
900.0,0.17701623,1370.27809919,1653.2367719
950.0,0.18034033,1423.18769781,1719.18172439
1000.0,0.1835556,1475.36410044,1784.34645929
1050.0,0.18667099,1526.85954906,1848.78914765
1100.0,0.18969435,1577.7204775,1912.56139186
1150.0,0.19263256,1627.9882999,1975.70919263
1200.0,0.19549175,1677.70021368,2038.27379539
