vid,x,y,z
0,-0.08682074,-0.59171249,-0.00000000
1,0.04947740,-0.59795651,-0.00000000
2,0.10332992,-0.58885279,-0.00000000
3,0.31907604,-0.50663858,-0.00000000
4,0.36731487,-0.45031227,0.00002856
5,0.46965818,-0.29132795,0.00013527
6,0.52587198,-0.10045609,0.00023754
7,0.52638931,0.13087935,0.00016333
8,0.49033640,0.27067362,-0.00001607
9,0.40935839,0.42347383,-0.00015472
10,0.36182606,0.47984139,0.00009330
11,0.26605703,0.53576018,-0.00000000
12,0.07701513,0.59338520,-0.00000000
13,0.02063724,0.59831713,-0.00000000
14,-0.11386539,0.58803378,-0.00000000
15,-0.39876804,0.44582900,-0.00000000
16,-0.52020742,0.29600711,-0.00000000
17,-0.58163100,0.14269472,-0.00000000
18,-0.59797228,0.03780500,-0.00000000
19,-0.59186914,-0.09099958,-0.00000000
20,-0.53816359,-0.26441586,-0.00000000
21,-0.47555513,-0.36441277,-0.00000000
22,-0.40711584,-0.43955133,-0.00000000
23,-0.30796843,-0.51270808,-0.00000000
24,-0.26383026,-0.53750229,-0.00000000
25,-0.13952592,-0.58254778,-0.00000000
26,-0.01864139,0.00793817,0.12899648
27,0.00897908,-0.35547498,0.12268666
28,-0.29801395,0.00967317,0.13340129
29,-0.24798020,-0.27478239,0.12670692
30,0.32017071,0.00658445,0.05071654
31,0.28685595,-0.29145833,-0.01815709
32,-0.02715393,0.33980941,0.10233732
33,0.26409697,0.28112133,0.02766534
34,-0.31543878,0.31204120,0.07475015
35,-0.14854269,0.08777353,0.14173935
36,0.12582867,-0.15858808,0.09836295
37,-0.43855999,-0.22382724,0.09084483
38,0.21466785,0.45089423,0.04132060
39,-0.48437289,0.35050328,-0.00000000
40,0.26648809,-0.53585376,-0.00000000
41,-0.56767315,0.18789056,-0.00000000
42,-0.44349813,-0.40101059,-0.00000000
43,0.44048374,0.37466429,-0.00010798
44,0.40143510,-0.40566475,0.00008322
45,0.53406807,0.06056280,0.00021074
46,-0.17395794,0.57253779,-0.00000000
47,-0.59728995,-0.02566716,-0.00000000
48,-0.35055059,0.48470827,-0.00000000
49,0.18570367,0.16565489,0.07189872
50,0.33074787,-0.13825317,0.04961249
51,-0.21464202,0.35302951,0.09163064
52,0.14494564,-0.44902944,0.08325026
53,-0.43277934,0.11714061,0.08549193
54,-0.20561453,-0.43445671,0.08530410
55,0.21776531,0.50824987,0.03765263
56,-0.58074050,-0.14323406,-0.00000000
57,-0.04797511,0.59591267,-0.00000000
58,-0.59069897,0.09356038,-0.00000000
59,0.37269956,0.47164737,-0.00020938
60,-0.01338559,-0.59780932,-0.00000000
61,0.31907604,-0.50663858,-0.00000000
62,0.43866527,-0.34747517,0.00009450
63,0.53348493,-0.02234251,0.00024038
64,0.51119484,0.20016531,0.00008630
65,-0.36191579,-0.47622380,-0.00000000
66,-0.15537798,-0.16409446,0.15252610
