face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1164.6623,683.1923,353.3792,1184.1166,1351.5137,496.3408,1164.6623,683.1923
1,1077.4153,1210.8039,198.4329,1200.1908,1353.4507,934.7684,1077.4153,1210.8039
2,1230.3162,1340.8875,-28.2833,1290.0936,1347.7021,1223.5015,1230.3162,1340.8875
3,1215.2998,1033.2724,-58.7035,1139.8281,1232.5894,1015.9829,1215.2998,1033.2724
4,325.3559,1072.2431,71.8036,960.2959,1079.0834,318.5156,325.3559,1072.2431
5,201.5546,1095.5260,215.2534,1076.5664,1144.6554,152.4252,201.5546,1095.5260
6,346.9866,1166.3646,61.3950,1042.7853,1170.9393,342.4119,346.9866,1166.3646
7,370.0891,835.1710,160.8715,776.5486,885.3930,319.8670,370.0891,835.1710
8,723.5823,526.5886,-1.0801,647.9508,723.5883,526.5826,723.5823,526.5886
9,748.3909,520.0957,-131.6624,702.3948,808.4978,459.9887,748.3909,520.0957
10,607.6875,705.8402,50.0047,667.8814,726.8278,586.6999,607.6875,705.8402
11,700.0998,1075.7537,81.1497,956.0370,1092.5343,683.3192,700.0998,1075.7537
12,478.8568,397.5131,288.1503,667.8776,729.1915,147.1784,478.8568,397.5131
13,852.3523,1041.8408,-471.9665,1261.8155,1428.4788,465.7144,852.3523,1041.8408
14,366.1034,1184.8526,-72.4400,1058.2398,1191.2124,359.7436,366.1034,1184.8526
15,280.9961,916.4391,-310.6605,975.1069,1043.0789,154.3564,280.9961,916.4391
16,705.9064,1026.9361,-104.9546,927.9155,1058.2036,674.6388,705.9064,1026.9361
17,1027.6896,1364.5232,22.7872,1231.7958,1366.0578,1026.1551,1027.6896,1364.5232
18,435.9994,434.9225,-286.4609,660.1566,721.9224,148.9996,435.9994,434.9225
19,827.4830,806.6515,141.4186,853.1835,958.8690,675.2656,827.4830,806.6515
20,716.2807,922.9003,-55.3410,844.3549,936.7892,702.3918,716.2807,922.9003
21,159.7215,1268.2958,34.1698,1197.9207,1269.3481,158.6693,159.7215,1268.2958
22,1032.4573,302.8513,32.4522,920.9590,1033.8979,301.4107,1032.4573,302.8513
23,-224.7678,310.4023,-217.6778,598.9903,387.7598,-302.1253,-224.7678,310.4023
24,1252.9480,980.2628,-583.0766,1523.9785,1715.4106,517.8002,1252.9480,980.2628
25,674.7182,321.5824,-247.3594,724.7361,802.0630,194.2377,674.7182,321.5824
26,271.5387,449.0675,-265.5496,604.1569,640.2955,80.3108,271.5387,449.0675
27,316.2418,521.6012,-169.3669,541.4611,616.9828,220.8602,316.2418,521.6012
28,1002.2564,342.6044,-58.3975,888.1154,1007.3863,337.4745,1002.2564,342.6044
29,390.3868,623.6130,-22.5256,547.1443,625.7686,388.2311,390.3868,623.6130
30,768.3848,1052.0195,537.9183,1325.4708,1466.5009,353.9034,768.3848,1052.0195
31,2524.1944,629.5864,-460.7562,2411.5611,2630.3045,523.4764,2524.1944,629.5864
32,1277.2327,588.6868,564.9203,1477.6299,1594.5176,271.4019,1277.2327,588.6868
33,631.8102,660.2492,255.7548,783.7044,902.1795,389.8799,631.8102,660.2492
34,1091.2187,1225.7875,773.8650,1775.4752,1935.2877,381.7186,1091.2187,1225.7875
35,656.1090,121.6758,134.3220,647.7489,687.9695,89.8152,656.1090,121.6758
36,761.9563,465.8367,93.9170,684.9052,789.2307,438.5622,761.9563,465.8367
37,1008.8482,339.4520,25.6491,890.2362,1009.8296,338.4706,1008.8482,339.4520
38,960.5295,389.2271,277.9191,965.3847,1073.4202,276.3365,960.5295,389.2271
39,94.4893,514.6181,240.2947,631.1567,623.7223,-14.6149,94.4893,514.6181
40,-199.9033,370.2510,2.0738,501.0733,370.2585,-199.9109,-199.9033,370.2510
41,819.7757,875.8839,-496.9972,1209.2126,1345.6182,350.0414,819.7757,875.8839
42,1273.1886,1127.9328,57.7981,1211.2771,1293.3800,1107.7414,1273.1886,1127.9328
43,1164.3353,1371.0877,-32.7990,1281.5537,1376.1662,1159.2569,1164.3353,1371.0877
44,972.4896,1086.0003,-117.9242,1053.9104,1160.1163,898.3737,972.4896,1086.0003
45,863.9399,1267.4808,-816.9276,1805.5427,1907.1864,224.2343,863.9399,1267.4808
46,805.8759,1276.7434,-48.9259,1121.5142,1281.7733,800.8460,805.8759,1276.7434
