face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,692.8122,761.2166,-48.3449,734.2145,786.2345,667.7943,692.8122,761.2166
1,722.9237,784.8951,125.8431,786.6189,883.5112,624.3077,722.9237,784.8951
2,698.5015,711.3275,-140.6930,745.9299,845.7536,564.0754,698.5015,711.3275
3,794.7708,780.7374,-37.3245,790.4958,825.7324,749.7758,794.7708,780.7374
4,528.3163,429.9111,-116.8777,527.0615,605.9257,352.3016,528.3163,429.9111
5,542.4234,260.7635,-208.9565,593.0978,653.5773,149.6095,542.4234,260.7635
6,584.8115,404.6805,-87.9075,540.6405,620.6012,368.8909,584.8115,404.6805
7,420.8625,515.5165,-179.3136,567.7861,653.6435,282.7354,420.8625,515.5165
8,266.6738,615.3001,-187.9362,625.7674,697.3170,184.6569,266.6738,615.3001
9,64.3777,669.3015,-140.9195,684.5406,700.5183,33.1609,64.3777,669.3015
10,376.9582,577.6031,-157.1018,576.2235,663.6823,290.8790,376.9582,577.6031
11,595.2891,732.7753,-125.4441,708.7484,807.0771,520.9873,595.2891,732.7753
12,285.5031,592.5767,-266.7353,690.5938,746.8081,131.2718,285.5031,592.5767
13,398.2611,575.6154,-123.4957,553.5822,638.9738,334.9027,398.2611,575.6154
14,599.4655,415.6696,81.0961,550.1729,630.1310,385.0040,599.4655,415.6696
15,477.6013,388.5560,279.6321,654.2830,716.2330,149.9243,477.6013,388.5560
16,588.7681,705.2976,156.3085,708.6133,813.8474,480.2182,588.7681,705.2976
17,785.4553,875.6555,-8.5465,834.3521,876.4581,784.6526,785.4553,875.6555
18,313.7206,560.7111,284.3622,692.4568,747.2367,127.1950,313.7206,560.7111
19,440.8152,527.9273,184.9133,585.5644,674.3451,294.3974,440.8152,527.9273
20,535.6538,664.6077,150.2764,663.6097,763.6553,436.6062,535.6538,664.6077
21,618.8774,158.8476,-41.3230,561.2998,622.5599,155.1652,618.8774,158.8476
22,402.0076,642.3093,176.8983,640.1852,736.0024,308.3144,402.0076,642.3093
23,540.6419,144.4166,73.2528,501.1687,553.7509,131.3076,540.6419,144.4166
24,581.5218,727.2840,57.6367,673.9021,747.3203,561.4855,581.5218,727.2840
25,526.8867,593.5051,209.3014,669.7531,772.1312,348.2606,526.8867,593.5051
26,586.4516,524.5862,179.2563,638.6472,737.4246,373.6133,586.4516,524.5862
27,677.3584,617.8151,73.1485,661.8759,726.5618,568.6117,677.3584,617.8151
28,340.3930,548.7769,287.4018,691.3921,750.2903,138.8796,340.3930,548.7769
29,715.5140,661.1745,29.6053,691.8539,728.5272,648.1613,715.5140,661.1745
30,437.7206,524.1860,-119.8677,529.1768,608.3790,353.5276,437.7206,524.1860
31,291.6573,570.5536,-267.5818,677.4875,732.8434,129.3674,291.6573,570.5536
32,562.1837,712.3251,-114.6351,680.0174,774.2829,500.2259,562.1837,712.3251
33,-1033.6650,-79.4600,-575.0046,1408.7346,190.6035,-1303.7286,-1033.6650,-79.4600
34,489.2293,677.1780,-97.0367,628.3856,718.2862,448.1211,489.2293,677.1780
35,98.5690,489.7108,115.0937,490.9195,521.0640,67.2158,98.5690,489.7108
36,692.3592,776.1205,-59.1028,744.8822,806.6769,661.8028,692.3592,776.1205
37,381.8668,466.7234,-287.2056,657.9422,714.6177,133.9725,381.8668,466.7234
38,525.5094,566.2300,-186.3307,635.1179,733.3094,358.4299,525.5094,566.2300
39,619.1638,462.0536,-136.2910,605.3892,697.9177,383.2997,619.1638,462.0536
40,635.7097,159.2962,13.0094,573.3617,636.0647,158.9412,635.7097,159.2962
41,389.4289,566.3182,51.2217,509.6092,580.0798,375.6673,389.4289,566.3182
42,768.2099,738.7100,126.9413,785.3005,881.2553,625.6645,768.2099,738.7100
43,750.9591,835.6634,-61.8380,803.8630,868.2622,718.3603,750.9591,835.6634
44,662.3681,661.1285,-19.1207,662.5773,680.8790,642.6175,662.3681,661.1285
45,216.9446,587.3857,230.0334,650.6942,697.4989,106.8314,216.9446,587.3857
46,721.6575,786.4645,57.7939,762.7440,820.3190,687.8030,721.6575,786.4645
47,771.4256,727.8322,73.5249,761.3058,826.3166,672.9412,771.4256,727.8322
48,825.0928,711.6955,-56.7571,780.8572,848.6195,688.1689,825.0928,711.6955
49,803.1028,647.7910,44.4025,741.8081,814.9009,635.9929,803.1028,647.7910
50,766.5778,884.2483,-33.8174,833.7400,893.2747,757.5514,766.5778,884.2483
51,459.3494,423.7385,-291.2883,671.1623,733.3759,149.7120,459.3494,423.7385
52,104.0823,654.1392,235.0993,732.4356,740.9288,17.2926,104.0823,654.1392
53,591.3607,711.0778,157.1001,713.3561,819.3367,483.1018,591.3607,711.0778
54,667.2786,608.2465,52.3590,646.2036,697.8680,577.6571,667.2786,608.2465
55,362.5745,632.4580,147.6518,606.2618,697.5421,297.4904,362.5745,632.4580
56,517.8220,569.7474,-164.2144,615.3236,710.0388,377.5306,517.8220,569.7474
57,582.0059,530.4745,-170.8374,631.6257,729.0097,383.4707,582.0059,530.4745
58,538.6177,680.9023,128.0563,660.4440,756.2512,463.2689,538.6177,680.9023
59,532.6439,504.1049,-157.4129,586.2247,676.4328,360.3160,532.6439,504.1049
60,675.6210,410.2889,-27.9807,591.5654,678.5396,407.3703,675.6210,410.2889
61,-1061.5973,302.6528,-703.1883,1738.7652,600.2054,-1359.1500,-1061.5973,302.6528
62,717.8301,599.5955,1.1353,666.6265,717.8410,599.5846,717.8301,599.5955
63,513.0831,714.0351,112.5927,666.9126,764.4649,462.6534,513.0831,714.0351
