face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,552.9247,888.7737,38.2274,780.1304,893.0699,548.6285,552.9247,888.7737
1,593.3862,863.8230,0.6872,765.3222,863.8247,593.3844,593.3862,863.8230
2,583.1253,1668.0751,151.2060,1489.4303,1688.7541,562.4463,583.1253,1668.0751
3,627.2977,1228.9071,184.3620,1111.2122,1280.9094,575.2954,627.2977,1228.9071
4,316.4042,723.9561,158.3231,685.8279,778.2322,262.1282,316.4042,723.9561
5,262.7547,681.6083,262.0688,748.7151,807.6508,136.7122,262.7547,681.6083
6,316.7916,811.2734,148.1921,753.2593,852.2841,275.7810,316.7916,811.2734
7,353.4760,539.7590,188.8589,576.6248,657.1953,236.0396,353.4760,539.7590
8,508.8030,-95.4782,185.8346,648.2127,561.3784,-148.0536,508.8030,-95.4782
9,486.3987,1863.5538,478.7956,1868.3474,2013.6564,336.2961,486.3987,1863.5538
10,407.7753,422.5904,285.1827,645.3905,700.4617,129.9040,407.7753,422.5904
11,540.5702,764.3717,107.6896,705.7442,807.7733,497.1686,540.5702,764.3717
12,408.2989,262.6748,220.1209,523.2741,567.3376,103.6360,408.2989,262.6748
13,483.0033,640.1391,-79.5786,594.0363,673.3999,449.7424,483.0033,640.1391
14,279.0794,917.1053,18.3033,814.8786,917.6299,278.5548,279.0794,917.1053
15,184.4146,867.8442,-167.2104,843.2064,906.5611,145.6976,184.4146,867.8442
16,470.9255,890.8037,-131.9086,804.9842,928.8047,432.9245,470.9255,890.8037
17,591.8437,1099.4857,15.7324,953.5023,1099.9728,591.3566,591.8437,1099.4857
18,274.2618,617.3835,-265.3906,705.9417,761.8373,129.8080,274.2618,617.3835
19,495.7136,655.4515,-123.7811,629.6012,722.8945,428.2706,495.7136,655.4515
20,468.4806,807.0870,-133.9267,739.3024,853.6540,421.9136,468.4806,807.0870
21,182.2055,878.0669,164.4161,851.6512,914.9588,145.3136,182.2055,878.0669
22,356.2083,738.8940,-165.0159,700.9560,800.2216,294.8807,356.2083,738.8940
23,135.3464,830.9835,71.3402,782.0805,838.2244,128.1056,135.3464,830.9835
24,578.0924,886.5409,-45.1539,783.4282,893.0151,571.6182,578.0924,886.5409
25,336.9588,903.5815,-150.6352,832.8288,941.1382,299.4022,336.9588,903.5815
26,309.3285,961.3032,-77.4140,860.4698,970.3691,300.2626,309.3285,961.3032
27,412.0385,978.4035,14.9455,851.2223,978.7976,411.6444,412.0385,978.4035
28,255.4094,720.2633,-257.5454,773.9768,834.7541,140.9186,255.4094,720.2633
29,459.8295,1007.6209,56.2746,879.1528,1013.3422,454.1082,459.8295,1007.6209
30,432.2611,1668.0854,597.7739,1822.1720,1909.9110,190.4354,432.2611,1668.0854
31,350.7216,261.1048,216.9076,490.6659,527.4007,84.4257,350.7216,261.1048
32,555.1146,731.5926,5.9610,661.3386,731.7937,554.9134,555.1146,731.5926
33,364.2803,251.7570,-84.1405,354.4157,409.2362,206.8011,364.2803,251.7570
34,457.6814,379.9640,66.7389,439.6643,496.0502,341.5952,457.6814,379.9640
35,415.2515,245.2781,-196.0862,496.0771,543.9761,116.5534,415.2515,245.2781
36,582.8704,877.5698,57.7481,779.9755,888.4819,571.9584,582.8704,877.5698
37,333.1027,387.4379,261.0350,580.0231,622.7153,97.8253,333.1027,387.4379
38,412.1293,630.8880,157.3507,618.1752,713.1413,329.8760,412.1293,630.8880
39,368.3484,781.5389,176.7467,743.1845,846.8279,303.0595,368.3484,781.5389
40,170.4825,905.8907,132.6561,864.9027,929.0880,147.2851,170.4825,905.8907
41,438.5398,515.7853,-113.4940,520.3863,597.0483,357.2768,438.5398,515.7853
42,635.7130,559.5245,18.3211,602.0869,639.8897,555.3478,635.7130,559.5245
43,615.8957,1253.8519,135.3092,1110.9257,1281.3642,588.3834,615.8957,1253.8519
44,601.1725,855.5341,-243.3600,869.8825,1002.9421,453.7644,601.1725,855.5341
45,335.5747,497.7684,-280.9426,655.8441,709.0847,124.2584,335.5747,497.7684
46,524.6957,1034.5115,-39.1390,898.5051,1037.4987,521.7085,524.6957,1034.5115
47,613.9183,1030.0195,-134.3741,927.1770,1069.6409,574.2968,613.9183,1030.0195
48,585.5923,1571.9960,242.1021,1438.5344,1628.2134,529.3749,585.5923,1571.9960
