sample_id,E1,r,E2,e2_over_e1,nu,sf_wale,sf_course,knit_dir,pressure,motif,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,verts_path,stress_path
6100,1000.0,1.0,1000.0,1.0,0.195,1.1,1.1,0.0,1000.0,1,0.50013942,1094.99826182,789.23848669,0.0,0.0,18.96027022,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06100_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06100_stress.csv
6101,1000.0,0.8,1250.0,1.25,0.195,1.1,1.1,0.0,1000.0,1,0.47312832,1107.73590924,810.08789728,0.0,0.0,18.89059123,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06101_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06101_stress.csv
6102,1000.0,0.5988023952095809,1670.0,1.67,0.195,1.1,1.1,0.0,1000.0,1,0.4375469,1155.10026167,868.68263076,0.0,0.0,21.28898904,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06102_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06102_stress.csv
6103,1000.0,0.5,2000.0,2.0,0.195,1.1,1.1,0.0,1000.0,1,0.41520562,1202.76297121,923.53690926,0.0,0.0,24.63536339,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06103_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06103_stress.csv
6104,1000.0,0.4,2500.0,2.5,0.195,1.1,1.1,0.0,1000.0,1,0.38749391,1281.14534854,1010.59053197,0.0,0.0,30.3340434,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06104_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06104_stress.csv
6105,1000.0,0.3333333333333333,3000.0,3.0,0.195,1.1,1.1,0.0,1000.0,1,0.3649086,1361.01723754,1096.97655836,0.0,0.0,35.52256676,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06105_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06105_stress.csv
6106,1000.0,0.25,4000.0,4.0,0.195,1.1,1.1,0.0,1000.0,1,0.3296287,1516.12764499,1260.46554343,0.0,0.0,44.29391389,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06106_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06106_stress.csv
6107,1000.0,0.2,5000.0,5.0,0.195,1.1,1.1,0.0,1000.0,1,0.30277633,1661.94591643,1410.56810824,0.0,0.0,51.57906861,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06107_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06107_stress.csv
6108,2000.0,1.0,2000.0,1.0,0.195,1.1,1.1,0.0,1000.0,1,0.3589825,1172.00897357,901.17127955,0.0,0.0,26.04383032,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06108_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06108_stress.csv
6109,2000.0,0.8,2500.0,1.25,0.195,1.1,1.1,0.0,1000.0,1,0.33933263,1207.43772812,941.08761767,0.0,0.0,29.24312409,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06109_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/06109_stress.csv
