face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,764.6406,1454.6849,-93.1059,1270.6213,1467.0267,752.2988,764.6406,1454.6849
1,795.1383,1750.8457,43.0584,1520.2313,1752.7817,793.2023,795.1383,1750.8457
2,985.2704,1835.8959,3.2047,1591.3669,1835.9080,985.2584,985.2704,1835.8959
3,975.7410,1801.1986,21.9506,1562.1552,1801.7819,975.1577,975.7410,1801.1986
4,536.5053,648.2849,-109.9285,629.7268,715.7156,469.0746,536.5053,648.2849
5,566.1448,287.0100,-203.9487,604.3100,673.7091,179.4456,566.1448,287.0100
6,592.3149,597.3478,-42.7194,599.4316,637.6249,552.0379,592.3149,597.3478
7,447.8988,870.8790,-231.0593,853.8988,972.6244,346.1534,447.8988,870.8790
8,385.3196,1502.5659,-238.7586,1413.5857,1551.4504,336.4351,385.3196,1502.5659
9,354.3015,1580.7425,-166.1857,1465.2883,1602.8621,332.1819,354.3015,1580.7425
10,449.8717,1311.3845,-216.6386,1213.6540,1362.7934,398.4628,449.8717,1311.3845
11,658.5236,1216.1721,-174.4836,1096.8972,1266.2665,608.4292,658.5236,1216.1721
12,346.1074,1078.8533,-385.4965,1164.5335,1244.3043,180.6564,346.1074,1078.8533
13,479.9464,1623.9972,45.2123,1447.2099,1625.7812,478.1624,479.9464,1623.9972
14,556.4955,749.8053,190.8841,750.9608,867.1105,439.1903,556.4955,749.8053
15,388.3370,910.1522,395.9096,1046.8859,1123.3935,175.0957,388.3370,910.1522
16,570.3061,1459.6438,213.8568,1326.8646,1508.3968,521.5531,570.3061,1459.6438
17,886.9430,1632.7411,20.6920,1416.2089,1633.3148,886.3693,886.9430,1632.7411
18,266.1763,1367.9197,293.6744,1355.2418,1441.3110,192.7850,266.1763,1367.9197
19,458.0336,1692.7898,34.4093,1517.7382,1693.7479,457.0755,458.0336,1692.7898
20,519.1370,1534.9832,168.5606,1383.4912,1562.2222,491.8980,519.1370,1534.9832
21,601.4738,198.9754,70.9154,544.7664,613.6028,186.8464,601.4738,198.9754
22,384.3753,1349.8377,197.7189,1252.2940,1388.7598,345.4532,384.3753,1349.8377
23,477.5187,281.1104,201.8654,543.1948,603.8000,154.8291,477.5187,281.1104
24,648.3459,1693.2742,29.4681,1480.6444,1694.1046,647.5155,648.3459,1693.2742
25,490.8976,1232.9978,289.0013,1185.9822,1332.2667,391.6287,490.8976,1232.9978
26,540.8680,1039.4237,283.2953,1025.4352,1167.4993,412.7924,540.8680,1039.4237
27,681.0479,1093.1672,153.9495,992.6948,1144.3254,629.8897,681.0479,1093.1672
28,287.8027,1269.0113,333.4682,1289.0299,1371.6132,185.2008,287.8027,1269.0113
29,745.5165,1146.3088,87.0349,1018.7992,1164.3931,727.4322,745.5165,1146.3088
30,356.0261,1319.1874,-156.6961,1212.8503,1344.0390,331.1745,356.0261,1319.1874
31,327.2602,1065.1613,-373.9649,1145.7017,1221.5433,170.8782,327.2602,1065.1613
32,619.5098,1493.8803,-181.4313,1337.4413,1530.0324,583.3576,619.5098,1493.8803
33,336.0036,1456.1895,-54.5743,1324.0228,1458.8420,333.3511,336.0036,1456.1895
34,534.2914,1521.7679,-193.8940,1378.7538,1558.4751,497.5843,534.2914,1521.7679
35,202.0659,1608.6060,-30.2621,1518.6003,1609.2568,201.4151,202.0659,1608.6060
