vid,x,y,z
0,-0.17364148,-0.59171249,-0.00000000
1,0.09895480,-0.59795651,-0.00000000
2,0.20665984,-0.58885279,-0.00000000
3,0.63815208,-0.50663858,-0.00000000
4,0.85059400,-0.42153628,-0.00000000
5,1.06939662,-0.27206240,-0.00000000
6,1.17985034,-0.10070605,-0.00000000
7,1.17860974,0.10532730,-0.00000000
8,1.10552974,0.23136848,-0.00000000
9,0.92983916,0.37688610,-0.00000000
10,0.76342578,0.46238686,-0.00000000
11,0.53211406,0.53576018,-0.00000000
12,0.15403026,0.59338520,-0.00000000
13,0.04127448,0.59831713,-0.00000000
14,-0.22773078,0.58803378,-0.00000000
15,-0.79753608,0.44582900,-0.00000000
16,-1.04041484,0.29600711,-0.00000000
17,-1.16326200,0.14269472,-0.00000000
18,-1.19594456,0.03780500,-0.00000000
19,-1.18373828,-0.09099958,-0.00000000
20,-1.07632718,-0.26441586,-0.00000000
21,-0.95111026,-0.36441277,-0.00000000
22,-0.81423168,-0.43955133,-0.00000000
23,-0.61593686,-0.51270808,-0.00000000
24,-0.52766052,-0.53750229,-0.00000000
25,-0.27905184,-0.58254778,-0.00000000
26,-0.03283986,0.00816196,0.36575436
27,0.02011963,-0.39638111,0.24059442
28,-0.61609270,0.00978336,0.29769130
29,-0.50165099,-0.31033995,0.24095083
30,0.76469634,-0.00453324,0.25709707
31,0.67181126,-0.32204743,0.18785846
32,-0.04656128,0.37951176,0.25167274
33,0.62804307,0.29729136,0.21761917
34,-0.64136741,0.34246019,0.18405727
35,-0.30308918,0.10320975,0.34187517
36,0.28246688,-0.18869488,0.32563025
37,-0.88579672,-0.24420817,0.15006739
38,0.45051180,0.47804052,0.11587629
39,-0.96874578,0.35050328,-0.00000000
40,0.53297618,-0.53585376,-0.00000000
41,-1.13534630,0.18789056,-0.00000000
42,-0.88699626,-0.40101059,-0.00000000
43,0.99773386,0.33075875,-0.00000000
44,0.92426696,-0.37987932,-0.00000000
45,1.19442008,0.04242015,-0.00000000
46,-0.34791588,0.57253779,-0.00000000
47,-1.19457990,-0.02566716,-0.00000000
48,-0.70110118,0.48470827,-0.00000000
49,0.44503655,0.18089757,0.30623150
50,0.78902844,-0.15913281,0.22549233
51,-0.43233755,0.38755851,0.20487178
52,0.29571343,-0.47762445,0.14924801
53,-0.89148776,0.13109860,0.19339616
54,-0.40915102,-0.46433461,0.14160035
55,0.43780841,0.52056579,0.06378385
56,-1.16148100,-0.14323406,-0.00000000
57,-0.09595022,0.59591267,-0.00000000
58,-1.18139794,0.09356038,-0.00000000
59,0.85029962,0.42055957,-0.00000000
60,-0.02677119,-0.59780932,-0.00000000
61,0.74633698,-0.46707592,-0.00000000
62,1.00388642,-0.32497943,-0.00000000
63,1.19410048,-0.03099376,-0.00000000
64,1.14720774,0.16857919,-0.00000000
65,-0.72383158,-0.47622380,-0.00000000
66,-0.31098104,-0.19110664,0.32175636
67,0.68704020,0.17084649,0.25485445
68,-0.15319572,0.48061448,0.16252988
69,-0.57585081,0.16998675,0.28313484
70,0.31034362,-0.25984917,0.29734430
71,0.97722680,-0.12392471,0.15421562
72,0.65425031,0.45263157,0.07524718
73,-0.36512340,-0.50612703,0.10266187
74,0.32362242,0.53868186,0.06611459
75,-1.03798742,-0.22293599,0.07041117
76,1.11788322,-0.21249868,-0.00000000
77,1.05793890,0.27884262,-0.00000000
78,-1.08963108,0.24748267,-0.00000000
79,0.41911606,-0.56004554,-0.00000000
80,-0.86079565,-0.34838562,0.08593784
81,0.81095347,0.07336151,0.23714755
82,-1.01643031,-0.03504164,0.14972832
83,0.11340203,0.48005120,0.16649600
84,-0.58272811,-0.27490016,0.24126295
85,0.05957827,0.15029855,0.34893440
86,-0.82380544,0.23750534,0.18074655
87,0.39433561,-0.44091583,0.16763789
88,-0.58489438,0.43637238,0.12128683
89,0.83160893,0.31705656,0.12853583
90,0.52475917,-0.16147628,0.29686257
91,-0.33882625,0.51383431,0.09789564
92,-1.09693697,0.06829586,0.09219025
93,1.03845829,-0.07868997,0.12929363
94,-0.50490695,-0.49700937,0.07633146
95,-0.95883145,-0.31080910,0.05785083
96,-0.40352650,-0.56276540,-0.00000000
97,0.24200010,0.46293746,0.17144039
98,0.85800978,0.01658801,0.22370195
99,-0.08175725,-0.20017876,0.33565840
100,-0.59140708,-0.10117656,0.29531989
101,-0.10884779,0.26190246,0.31262886
102,0.46141446,-0.34641096,0.22780776
103,0.86441848,-0.28350338,0.13537573
104,0.19739858,-0.51219101,0.12281171
105,0.51057724,0.24979954,0.26995449
106,-0.93812609,0.22575604,0.13242381
107,-0.64375742,-0.41638405,0.12033322
108,-0.75020220,0.35649599,0.13276128
109,-0.15427764,0.55826341,0.06391349
110,0.94401202,0.28936205,0.08808885
111,-0.20757211,-0.55960616,0.05532256
112,-1.05256687,-0.16461501,0.09458963
113,0.29219384,0.57974486,-0.00000000
114,0.65597474,0.49992775,-0.00000000
115,-1.01639970,-0.31488743,-0.00000000
116,-0.29023740,-0.01015053,0.35134666
117,0.33943406,0.03990981,0.34498444
118,-0.31814324,-0.42791202,0.19311463
119,0.27326983,0.29627853,0.28512127
120,-0.38671138,0.33856897,0.24641256
121,0.95406684,0.22785755,0.12354115
122,0.18391573,-0.23703328,0.31813726
123,-0.94411985,-0.14639040,0.16541154
124,0.61145454,-0.41668731,0.13174367
125,0.36704300,-0.38730202,0.21727443
126,1.10401714,0.07484506,0.08565092
127,-0.08950791,0.52357944,0.11777118
128,-0.92974632,0.31424411,0.07287712
129,0.90401773,-0.17318591,0.17409552
130,0.13284926,0.52742099,0.10958251
131,0.69669550,0.39790161,0.11866455
132,0.01151043,-0.56753086,0.05826584
133,-0.40240716,0.47600116,0.12961883
134,1.11915060,-0.05715857,0.07570005
135,0.42661224,0.55975431,-0.00000000
136,-1.12475070,-0.20375137,-0.00000000
137,-0.61981433,-0.46673731,0.07120943
138,-0.46536554,-0.26216343,0.27279262
139,0.50530064,0.38258032,0.19242707
140,0.85066355,-0.04626001,0.22499078
141,0.14016073,0.09186494,0.35655185
142,-0.13159401,-0.12728506,0.35123014
143,-0.17552443,0.38656960,0.24057761
144,0.43303079,-0.28276631,0.26893603
145,-0.90069781,0.06540382,0.20303618
146,0.05940357,-0.45111607,0.19600239
147,-0.46146926,0.28529309,0.26251468
148,0.85522331,0.25695262,0.15784847
149,0.78633753,-0.33237906,0.13633919
150,0.42030733,-0.52604011,0.05983265
151,-0.85655626,-0.19326254,0.18827988
152,-0.74451627,0.29544749,0.18015476
153,-0.53084780,-0.44604288,0.12874501
154,-0.87157184,-0.29468317,0.12533161
155,1.08113526,0.13603140,0.08434464
156,-0.02839230,0.56229764,0.06549718
157,1.08133975,-0.11785712,0.09074936
158,0.54883025,0.45620077,0.11076335
159,0.20354440,0.55456200,0.06324240
160,-0.99000703,0.26428798,0.07472065
161,-0.72911247,-0.43095596,0.06572421
162,-0.23547909,0.05418424,0.35418613
163,0.46110432,0.04428899,0.32741942
164,-0.46871074,-0.08728906,0.32174418
165,-0.16010687,-0.33483702,0.27433565
166,0.10483493,0.22000522,0.32827107
167,0.14752295,-0.41175495,0.22438901
168,0.61396579,-0.20476705,0.26255814
169,0.03306990,0.42951423,0.21510303
170,0.36015287,0.44843802,0.16719223
171,-1.10586029,-0.06071098,0.08665799
172,-0.69634949,0.16903117,0.25230608
173,0.64800856,0.23416890,0.24310651
174,-0.72554522,-0.02061572,0.26880546
175,-0.55815608,-0.39187602,0.17137614
176,-0.11497323,-0.54037759,0.09368671
177,0.51525418,-0.45330430,0.12506053
178,0.15073418,-0.16523857,0.34214061
179,0.95164780,-0.06604570,0.17933638
180,1.03261932,-0.22795937,0.07129445
181,0.33768574,-0.32676161,0.26094666
182,0.90077373,0.12431434,0.19184955
183,0.89185506,-0.33524957,0.07817647
184,-0.75266093,-0.38153424,0.10953679
185,-0.83021590,0.32322739,0.12285894
186,0.21147468,-0.55078996,0.06775364
187,-0.97159128,-0.26150217,0.09126869
188,1.11727714,0.00717240,0.08298789
189,-0.21267151,0.52013817,0.11130859
190,0.08782719,0.56357044,0.06134266
191,-0.78315861,-0.25471866,0.18975998
192,-0.99875522,0.10058191,0.14889974
193,-0.50554741,0.46950751,0.10934956
194,0.62341875,0.11273627,0.28581529
195,-0.42988774,-0.20473835,0.30122703
196,-0.49331583,0.04160034,0.32215650
197,0.53253975,-0.02376656,0.31550857
198,-0.11493006,-0.27485373,0.30674861
199,-0.16126641,0.19067500,0.33465988
200,0.27642130,0.40860030,0.21453583
201,0.17176604,-0.04138276,0.35971271
202,-0.06564567,-0.44293928,0.20298886
203,0.02079450,0.26192594,0.31425474
204,-0.79796884,0.17674561,0.21646074
205,-0.51739451,0.33750416,0.22140287
206,0.49059602,-0.40312322,0.17952424
207,-0.27988692,0.47865907,0.15001316
208,0.75512428,-0.27559813,0.18724395
209,0.74464293,0.27923374,0.19021261
210,1.03861031,-0.02487834,0.13681349
211,-0.02392627,0.48019038,0.16897225
212,-1.00863704,0.03310249,0.15413048
213,-0.66745589,0.39714349,0.12995915
214,0.81605691,-0.38218603,0.07525261
215,1.04903822,0.19793991,0.07844397
216,-0.23655136,-0.52073481,0.10781649
217,0.58860119,0.41586390,0.14040653
218,-0.92577916,-0.07876957,0.19034801
219,-0.66826457,-0.36005903,0.16220882
220,0.86631191,-0.11086995,0.20898417
221,0.26578468,0.10261832,0.34620853
222,0.62759094,-0.46322680,0.07290245
223,-1.10640479,-0.11507223,0.06992767
224,0.27160920,-0.42739766,0.20000473
225,0.93811715,-0.23113579,0.12956438
226,1.00750331,0.10132372,0.14403932
227,0.09872995,-0.54211727,0.09375231
228,-0.44170066,-0.41401633,0.18211433
229,-0.27061678,0.55058963,0.05914984
230,-0.85260832,0.36254556,0.07542744
231,-0.21058784,-0.23089989,0.31829112
232,0.60163215,-0.09074486,0.29459701
233,-0.70471066,0.05180501,0.27267452
234,-0.51564789,-0.15320865,0.30064803
235,0.56809158,0.18070166,0.28232830
236,-0.27471967,-0.47667063,0.15346985
237,-0.33022696,0.28685193,0.28253987
238,0.08076383,0.36751649,0.25883202
239,0.25237488,-0.11057910,0.34636922
240,-0.15933878,-0.00177731,0.36160107
241,-0.44970302,0.17166681,0.30766251
242,0.08853073,-0.28571523,0.30293555
243,0.11243254,-0.35157521,0.26734726
244,-0.01741220,-0.52506192,0.11834991
245,-0.47306695,-0.36044281,0.21624092
246,0.33998798,0.49639504,0.11986156
247,0.70204662,-0.37663111,0.13492789
248,-1.02483880,-0.10223576,0.13368474
249,-0.77095154,0.40509063,0.07429253
250,0.41454830,-0.48731189,0.11386214
251,-0.22607903,0.43567731,0.19793504
252,0.47373891,0.43131050,0.15861749
253,-0.47176636,0.43240615,0.15800635
254,1.02818046,0.03738845,0.14250760
255,0.83112204,-0.22449345,0.18412141
256,1.02079075,0.24859345,0.06309197
257,0.01400193,0.07987598,0.36134226
258,-0.60552371,0.28209046,0.23182195
259,0.52659949,-0.23879530,0.27028478
260,-0.98114268,0.16473603,0.13796173
261,0.03043712,0.52435239,0.11922087
262,0.98122859,0.16453173,0.13896360
263,-0.77238692,-0.32453061,0.14971438
264,0.72740269,-0.42311292,0.07544373
265,-0.83513675,-0.12554111,0.21857366
266,0.96714737,-0.28189123,0.07632496
267,-1.03789218,0.20681228,0.08047313
268,-0.10459757,-0.57145206,0.04535953
269,0.76885626,0.21620248,0.21262547
270,0.52912273,-0.49590209,0.06789676
271,-0.34403012,-0.07424880,0.34144453
272,0.38579699,-0.14407753,0.32442044
273,0.57880039,0.04517865,0.30481492
274,0.13290379,0.29594358,0.29664367
275,-0.28702217,-0.32702091,0.26733167
276,0.28962039,-0.03132963,0.35084442
277,0.36608041,0.23943856,0.29858133
278,-0.52666630,0.11313082,0.30677211
279,-0.18965740,-0.43825062,0.19972206
280,-0.11173772,0.06766449,0.36050278
281,-0.91480394,-0.00681683,0.20140612
282,-0.25777391,0.33944312,0.26314242
283,0.22993639,0.23374157,0.31596745
284,0.72063695,-0.21372102,0.22902717
285,0.24145608,-0.37000304,0.24623067
286,0.61540830,0.36158712,0.17867674
287,-0.71592550,0.23487202,0.22171296
288,0.74092001,-0.08513049,0.25846661
289,-0.78231975,0.10499015,0.24170932
290,0.05532335,-0.21172311,0.33245230
291,-0.67164776,-0.23191709,0.23734100
292,0.17745961,-0.46576635,0.17541568
293,0.22732839,0.51159211,0.12005705
294,0.94524386,-0.00397966,0.18719275
295,0.81298003,0.37660952,0.08506214
296,0.87734654,0.19162910,0.17985586
297,-0.09666888,0.43392129,0.20931594
298,-0.96098244,-0.20512128,0.13208632
299,0.31563993,-0.55443993,0.04436669
300,0.58322800,-0.36384582,0.18592175
