face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1056.3658,1087.8819,-361.2367,1241.6402,1433.7041,710.5436,1056.3658,1087.8819
1,1121.8145,1298.7286,-426.1076,1425.8100,1645.4638,775.0793,1121.8145,1298.7286
2,1228.5285,1385.9496,-365.3610,1458.7412,1680.9822,933.4958,1228.5285,1385.9496
3,1202.9317,1374.6424,-356.9997,1437.1610,1655.9654,921.6087,1202.9317,1374.6424
4,668.6041,491.4281,-233.4661,723.5202,829.7244,330.3078,668.6041,491.4281
5,495.0319,79.5381,33.0643,463.9922,497.6466,76.9233,495.0319,79.5381
6,572.2776,495.7490,-141.2712,591.1305,680.3748,387.6517,572.2776,495.7490
7,804.1915,579.7886,-350.9307,941.3155,1060.4212,323.5589,804.1915,579.7886
8,1104.9969,864.8784,-554.3258,1391.1060,1552.1160,417.7593,1104.9969,864.8784
9,1090.4491,933.6706,-578.6393,1430.7935,1595.9848,428.1350,1090.4491,933.6706
10,1011.0467,817.4127,-459.9697,1224.1948,1384.2782,444.1811,1011.0467,817.4127
11,991.0644,824.8420,-329.2826,1081.8422,1247.5625,568.3439,991.0644,824.8420
12,987.6694,500.5461,-436.4875,1141.5898,1243.9514,244.2641,987.6694,500.5461
13,994.3873,1144.9359,-534.9667,1421.1765,1609.8982,529.4250,994.3873,1144.9359
14,426.4503,805.8158,-259.7762,830.6681,937.7900,294.4761,426.4503,805.8158
15,334.8837,927.6194,-389.4858,1056.9190,1120.6727,141.8304,334.8837,927.6194
16,836.5231,1168.6607,-455.8662,1308.1930,1487.7648,517.4189,836.5231,1168.6607
17,1115.7322,1265.6448,-345.4506,1338.8812,1544.1777,837.1994,1115.7322,1265.6448
18,687.4122,1079.5051,-586.8005,1388.8147,1502.1419,264.7754,687.4122,1079.5051
19,1055.8432,1139.3057,-575.4962,1484.4129,1674.5817,520.5672,1055.8432,1139.3057
20,909.4785,1151.9144,-498.6969,1361.0703,1543.9141,517.4788,909.4785,1151.9144
21,136.1555,270.5628,126.1654,320.4014,346.3068,60.4115,136.1555,270.5628
22,801.6703,1008.0859,-527.9442,1298.8207,1442.8157,366.9405,801.6703,1008.0859
23,50.7021,413.0753,-15.6143,391.1388,413.7468,50.0305,50.7021,413.0753
24,1104.0820,1192.1070,-486.9066,1426.5925,1636.9862,659.2028,1104.0820,1192.1070
25,651.1607,1064.6428,-429.7008,1190.8608,1334.7504,381.0531,651.1607,1064.6428
26,539.7023,984.2142,-357.1275,1054.2265,1182.5980,341.3186,539.7023,984.2142
27,714.5706,1011.3716,-276.2393,1019.6626,1176.5486,549.3936,714.5706,1011.3716
28,598.4708,1030.2403,-548.0132,1305.3540,1403.3587,225.3524,598.4708,1030.2403
29,840.2282,1006.6438,-267.9502,1043.5021,1204.0084,642.8636,840.2282,1006.6438
30,943.1823,859.9577,-515.2739,1270.6475,1418.5215,384.6186,943.1823,859.9577
31,962.0735,497.2820,-444.2606,1134.2643,1231.0511,228.3044,962.0735,497.2820
32,1109.8021,964.2768,-439.6853,1292.7891,1482.7048,591.3741,1109.8021,964.2768
33,954.9953,956.6174,-541.4877,1339.1021,1497.2946,414.3181,954.9953,956.6174
34,1109.5312,949.1962,-484.9280,1335.7902,1520.8736,537.8538,1109.5312,949.1962
35,1001.1555,977.4425,-655.9791,1506.6718,1645.3852,333.2128,1001.1555,977.4425
36,1008.6988,1010.5409,-315.1318,1147.7191,1324.7531,694.4867,1008.6988,1010.5409
37,866.7801,318.7527,-293.0496,913.3765,993.9666,191.5663,866.7801,318.7527
38,875.6785,659.8890,-300.7982,946.4959,1087.3473,448.2203,875.6785,659.8890
39,708.6790,555.1567,-161.1337,703.4836,810.4013,453.4345,708.6790,555.1567
40,84.4929,388.5646,99.7035,393.8438,418.3410,54.7165,84.4929,388.5646
41,996.7531,965.1953,-568.6139,1390.3318,1549.8070,412.1415,996.7531,965.1953
42,1240.3995,1395.5041,-371.1998,1472.5514,1697.1663,938.7373,1240.3995,1395.5041
43,1196.2783,1351.8067,-355.3748,1421.3373,1637.8261,910.2589,1196.2783,1351.8067
44,1154.7266,1094.9431,-456.9761,1376.3776,1582.7875,666.8821,1154.7266,1094.9431
45,832.5141,1062.5679,-636.3107,1467.0383,1594.1649,300.9171,832.5141,1062.5679
46,914.9747,1175.2076,-347.1980,1226.6400,1415.8697,674.3126,914.9747,1175.2076
47,1237.8426,1400.5771,-367.0694,1471.1887,1695.1893,943.2303,1237.8426,1400.5771
