material,field,pressure,crown_height,max_stress,mean_stress,boundary_reaction_mean
split,fdm,200.0,0.11120269,737.44642818,532.68258278,0.0
split,fdm,400.0,0.14050978,1191.14334869,855.33081316,0.0
split,fdm,600.0,0.16125367,1583.51082569,1131.72098451,0.0
split,fdm,800.0,0.17790298,1942.94272804,1382.97583814,0.0
split,fdm,1000.0,0.19209463,2281.03888336,1617.76671384,0.0
split,fdm,1200.0,0.20463689,2603.94949183,1840.70880683,0.0
split,fdm,1400.0,0.2159383,2915.41599015,2054.61885027,0.0
split,fdm,1600.0,0.22628395,3217.92079026,2261.3710322,0.0
split,fdm,1800.0,0.23586692,3513.2131666,2462.28935628,0.0
split,fdm,1900.0,0.24041693,3658.57066436,2560.87630932,0.0
split,fdm,2000.0,0.24482471,3802.58174332,2658.35139083,0.0
split,uniform0,200.0,0.11169861,729.27442831,537.41877826,0.0
split,uniform0,400.0,0.141133,1178.71359493,862.77702658,0.0
split,uniform0,600.0,0.16196572,1567.77854759,1141.41476259,0.0
split,uniform0,800.0,0.17868558,1924.44879643,1394.66382136,0.0
split,uniform0,1000.0,0.1929127,2260.1477545,1631.28261645,0.0
split,uniform0,1200.0,0.20543933,2580.92927508,1855.93322079,0.0
split,uniform0,1400.0,0.21671917,2890.47480851,2071.46115574,0.0
split,uniform0,1600.0,0.22703904,3191.22624582,2279.75986641,0.0
split,uniform0,1800.0,0.23663752,3484.90390139,2482.16701382,0.0
split,uniform0,1900.0,0.24120382,3629.49907234,2581.48000031,0.0
split,uniform0,2000.0,0.24562744,3772.7748251,2679.67027359,0.0
uniform,fdm,200.0,0.1061754,578.82272396,486.68682229,0.0
uniform,fdm,400.0,0.13419416,936.09723938,780.87614185,0.0
uniform,fdm,600.0,0.15403211,1245.65382329,1032.50400159,0.0
uniform,fdm,800.0,0.16995558,1529.61789158,1260.9351765,0.0
uniform,fdm,1000.0,0.18350497,1797.0126536,1474.12654254,0.0
uniform,fdm,1200.0,0.19543386,2052.61490741,1676.31660962,0.0
uniform,fdm,1400.0,0.20617393,2299.32657303,1870.09427803,0.0
uniform,fdm,1600.0,0.21599819,2539.0706266,2057.18350335,0.0
uniform,fdm,1800.0,0.22509159,2773.2005431,2238.80305736,0.0
uniform,fdm,1900.0,0.22940686,2888.48173898,2327.85231096,0.0
uniform,fdm,2000.0,0.23358582,3002.71232695,2415.85352273,0.0
uniform,uniform0,200.0,0.10619219,574.54734205,487.13836719,0.0
uniform,uniform0,400.0,0.13422061,929.28309899,781.57703169,0.0
uniform,uniform0,600.0,0.15406716,1236.69504795,1033.40699576,0.0
uniform,uniform0,800.0,0.16999862,1518.73274521,1262.01411626,0.0
uniform,uniform0,1000.0,0.1835556,1784.34645658,1475.36409334,0.0
uniform,uniform0,1200.0,0.19549174,2038.27379539,1677.70021368,0.0
uniform,uniform0,1400.0,0.20623881,2283.3925728,1871.61436775,0.0
uniform,uniform0,1600.0,0.21606987,2521.60957381,2058.83247109,0.0
uniform,uniform0,1800.0,0.22516988,2754.26675623,2240.57471265,0.0
uniform,uniform0,1900.0,0.2294884,2868.8291718,2329.68327441,0.0
uniform,uniform0,2000.0,0.23367057,2982.35150972,2417.74259834,0.0
