face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,706.1797,1579.0279,115.7053,1384.5954,1594.1054,691.1022,706.1797,1579.0279
1,874.0656,1600.3367,-54.3896,1391.0944,1604.3873,870.0150,874.0656,1600.3367
2,967.0131,1866.0222,-4.0625,1616.3957,1866.0406,966.9948,967.0131,1866.0222
3,940.4806,1864.7642,-21.5396,1615.3844,1865.2659,939.9789,940.4806,1864.7642
4,320.0160,1409.2276,131.2856,1299.6403,1424.8283,304.4152,320.0160,1409.2276
5,233.4152,1441.2785,231.7222,1398.7264,1484.2075,190.4863,233.4152,1441.2785
6,333.5848,1506.0561,90.2583,1378.9583,1512.9636,326.6773,333.5848,1506.0561
7,360.4016,1123.4304,258.6804,1089.8833,1202.8593,280.9727,360.4016,1123.4304
8,638.9710,720.0778,196.3758,763.1366,880.0438,479.0051,638.9710,720.0778
9,667.4433,621.1704,118.0911,677.1807,764.6431,523.9707,667.4433,621.1704
10,550.2656,936.8078,224.0294,903.0369,1039.4132,447.6602,550.2656,936.8078
11,591.3550,1414.5862,170.4238,1265.4505,1448.4722,557.4690,591.3550,1414.5862
12,449.9814,715.9408,385.2423,915.4941,990.5090,175.4133,449.9814,715.9408
13,696.8982,1013.0732,-96.6047,913.2212,1040.2534,669.7180,696.8982,1013.0732
14,345.6853,1524.6282,-89.0255,1393.0990,1531.3129,339.0006,345.6853,1524.6282
15,296.6552,1259.0623,-341.9235,1284.7062,1368.1710,187.5465,296.6552,1259.0623
16,608.8588,1346.6382,-223.6175,1230.5468,1409.1235,546.3734,608.8588,1346.6382
17,818.3412,1758.3843,-1.8681,1524.0242,1758.3880,818.3375,818.3412,1758.3843
18,420.6228,737.0658,-383.2991,922.4519,993.5155,164.1730,420.6228,737.0658
19,718.4140,959.2773,-102.4310,882.4113,996.9466,680.7448,718.4140,959.2773
20,630.0736,1198.8497,-222.6191,1107.9475,1275.6206,553.3026,630.0736,1198.8497
21,201.7246,1603.9969,41.0437,1514.9214,1605.1972,200.5243,201.7246,1603.9969
22,471.1810,1037.8568,-248.8373,997.9478,1131.6136,377.4242,471.1810,1037.8568
23,176.7094,1431.0071,-71.7393,1357.0463,1435.0969,172.6197,176.7094,1431.0071
24,780.2533,1375.2510,-66.4831,1200.1360,1382.5891,772.9152,780.2533,1375.2510
25,466.1418,1297.5302,-282.8894,1239.4027,1384.6561,379.0159,466.1418,1297.5302
26,411.2710,1467.0625,-215.2403,1362.7329,1509.2564,369.0770,411.2710,1467.0625
27,498.7178,1608.7074,-88.0443,1434.4418,1615.6477,491.7776,498.7178,1608.7074
28,400.0996,887.0751,-396.7923,1031.6956,1109.1305,178.0442,400.0996,887.0751
29,531.6828,1687.1119,-29.7463,1494.8843,1687.8772,530.9175,531.6828,1687.1119
30,508.6313,750.6787,160.6720,719.6194,830.8072,428.5027,508.6313,750.6787
31,445.9392,686.2653,372.4928,883.1998,957.4972,174.7073,445.9392,686.2653
32,711.4331,1280.5001,154.0044,1142.7946,1319.5044,672.4288,711.4331,1280.5001
33,561.1968,630.8500,10.2534,599.3312,632.3280,559.7188,561.1968,630.8500
34,704.2628,1073.0509,165.5976,986.9054,1136.4950,640.8187,704.2628,1073.0509
