face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1137.7280,1718.2759,68.8071,1518.6078,1726.3195,1129.6844,1137.7280,1718.2759
1,1221.0160,1742.7796,-16.2764,1549.5141,1743.2868,1220.5088,1221.0160,1742.7796
2,1309.4116,1896.4725,8.1405,1681.6963,1896.5853,1309.2987,1309.4116,1896.4725
3,1290.9030,1909.5011,-10.8842,1687.6018,1909.6926,1290.7115,1290.9030,1909.5011
4,882.5365,1601.0034,78.0665,1395.5006,1609.3881,874.1519,882.5365,1601.0034
5,821.9458,1618.4634,133.0818,1420.5146,1640.1103,800.2989,821.9458,1618.4634
6,884.7594,1654.5018,54.5249,1437.1007,1658.3449,880.9163,884.7594,1654.5018
7,918.1961,1460.0687,136.2476,1299.9791,1492.3978,885.8671,918.1961,1460.0687
8,1088.8443,1300.0845,104.1875,1221.7926,1342.8243,1046.1046,1088.8443,1300.0845
9,1100.4836,1238.9505,72.0650,1182.4541,1269.6502,1069.7839,1100.4836,1238.9505
10,1034.0995,1390.8093,113.9991,1266.6746,1424.1293,1000.7795,1034.0995,1390.8093
11,1063.5515,1632.1784,102.4415,1445.9340,1650.0708,1045.6591,1063.5515,1632.1784
12,980.1238,1301.9784,195.3593,1222.3691,1394.1575,887.9447,980.1238,1301.9784
13,1124.9545,1398.5990,-33.6041,1285.1573,1402.6652,1120.8883,1124.9545,1398.5990
14,892.6428,1664.8910,-53.5293,1446.0693,1668.5838,888.9500,892.6428,1664.8910
15,871.6040,1534.8734,-188.7811,1372.8230,1584.8404,821.6370,871.6040,1534.8734
16,1074.7226,1602.8417,-128.8746,1432.2521,1632.6123,1044.9520,1074.7226,1602.8417
17,1214.8320,1839.9136,-2.9161,1620.4747,1839.9272,1214.8184,1214.8320,1839.9136
18,960.7657,1314.4554,-196.3872,1226.2479,1401.8870,873.3341,960.7657,1314.4554
19,1140.1836,1409.7656,-60.3998,1300.3886,1422.6795,1127.2697,1140.1836,1409.7656
20,1085.5407,1527.8476,-122.6772,1378.1601,1559.5944,1053.7939,1085.5407,1527.8476
21,791.9569,1698.9029,24.5930,1473.0320,1699.5693,791.2905,791.9569,1698.9029
22,988.7165,1431.9374,-131.5635,1290.0201,1468.0481,952.6059,988.7165,1431.9374
23,778.3881,1613.0874,-43.7284,1399.3096,1615.3720,776.1035,778.3881,1613.0874
24,1179.8731,1624.6505,-33.6107,1455.3685,1627.1760,1177.3476,1179.8731,1624.6505
