motif,L_rest_m,label,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,cable_tension,prefix
1,,no_cable,0.16416714,2167.27452118,1947.49040301,0.0,0.0,91.60034986,0.0,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lrnone
1,1.2,1.20m,0.09863598,5081.90594287,1893.03465181,2032.41702743,0.0,91.68622892,2032.41702743,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lr1.20
1,1.25,1.25m,0.12691741,4046.24211556,1887.38089735,738.00897007,0.0,90.6816052,738.00897007,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lr1.25
1,1.3,1.30m,0.14584407,3133.94839276,1892.55247897,324.86493253,0.0,90.69400682,324.86493253,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lr1.30
1,1.35,1.35m,0.1572721,2540.57483737,1916.75732303,115.10300833,0.0,91.06190282,115.10300833,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lr1.35
1,1.4,1.40m,0.17378874,2210.60805011,2000.03442354,0.0,0.0,100.23120392,0.0,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lr1.40
1,1.45,1.45m,0.17378874,2210.60805011,2000.03442354,0.0,0.0,100.23120392,0.0,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lr1.45
1,1.5,1.50m,0.17378874,2210.60805011,2000.03442354,0.0,0.0,100.23120392,0.0,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m1_lr1.50
2,,no_cable,0.19504467,1719.38102353,1487.25740325,0.0,0.0,71.04445834,0.0,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lrnone
2,1.2,1.20m,0.11717294,3539.73419729,1405.02928701,2002.18991206,0.0,69.51573552,2002.18991206,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lr1.20
2,1.25,1.25m,0.14772038,2953.98625844,1422.0095839,746.10530669,0.0,69.16209369,746.10530669,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lr1.25
2,1.3,1.30m,0.16863128,2403.58070153,1436.19051607,349.65569545,0.0,69.63169712,349.65569545,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lr1.30
2,1.35,1.35m,0.18279912,2055.25748124,1452.00854455,156.33668462,0.0,70.16414102,156.33668462,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lr1.35
2,1.4,1.40m,0.19238845,1794.05924766,1476.87022943,33.68820338,0.0,70.79635867,33.68820338,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lr1.40
2,1.45,1.45m,0.20271888,1752.96319252,1513.70770007,0.0,0.0,76.66594215,0.0,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lr1.45
2,1.5,1.50m,0.20271888,1752.96319252,1513.70770007,0.0,0.0,76.66594215,0.0,/home/chaoyu/phd_simulation/sensitivity_analysis/data/lrest_sweep/m2_lr1.50
