face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,647.2358,995.7969,80.3847,886.2254,1013.4419,629.5908,647.2358,995.7969
1,361.7475,1104.0690,243.8252,1062.4442,1176.9928,288.8237,361.7475,1104.0690
2,647.3220,1028.1929,183.8533,955.0082,1102.4604,573.0544,647.3220,1028.1929
3,678.9597,1246.8458,32.7503,1082.7144,1248.7283,677.0772,678.9597,1246.8458
4,321.2902,899.0578,108.0638,810.9915,918.6082,301.7398,321.2902,899.0578
5,213.6876,924.4506,205.9360,911.0196,979.8071,158.3311,213.6876,924.4506
6,329.2502,981.0465,83.4438,876.7763,991.5595,318.7372,329.2502,981.0465
7,361.7148,701.9118,190.5432,691.7702,787.2350,276.3917,361.7148,701.9118
8,500.7704,427.6012,155.8624,540.7061,624.2843,304.0873,500.7704,427.6012
9,523.9835,198.0695,180.3099,554.5630,604.0628,117.9902,523.9835,198.0695
10,465.1078,594.3823,140.3881,593.5404,684.2986,375.1915,465.1078,594.3823
11,581.8447,933.2296,129.8331,846.7797,975.9964,539.0778,581.8447,933.2296
12,431.7744,435.5017,289.5342,662.9801,723.1783,144.0978,431.7744,435.5017
13,642.2295,432.6081,-25.6883,568.9943,645.3316,429.5060,642.2295,432.6081
14,337.7840,1013.2210,-64.2023,900.4615,1019.2695,331.7355,337.7840,1013.2210
15,269.8655,844.8868,-279.1296,890.1660,958.0952,156.6571,269.8655,844.8868
16,538.8068,955.7770,-142.4584,865.8675,999.8002,494.7836,538.8068,955.7770
17,730.8763,1190.6455,14.2887,1040.2955,1191.0891,730.4327,730.8763,1190.6455
18,348.9956,554.3915,-322.2192,739.6913,789.8829,113.5042,348.9956,554.3915
19,504.7940,763.8015,-96.4837,693.2349,795.7918,472.8037,504.7940,763.8015
20,506.3942,886.2903,-145.3398,810.2495,935.5157,457.1689,506.3942,886.2903
21,167.2838,1052.2347,44.0418,982.3334,1054.4212,165.0974,167.2838,1052.2347
22,437.2985,728.1634,-190.5780,715.5327,822.4612,343.0008,437.2985,728.1634
23,142.2410,940.6430,-52.9779,882.9857,944.1430,138.7410,142.2410,940.6430
24,565.0500,1148.9278,58.0021,1000.1038,1154.6339,559.3439,565.0500,1148.9278
25,439.2158,883.9819,-210.5063,847.9472,967.8130,355.3846,439.2158,883.9819
26,399.5448,983.0325,-167.3810,904.0313,1027.6379,354.9394,399.5448,983.0325
27,491.7912,1081.5220,-61.8132,943.9958,1087.9314,485.3819,491.7912,1081.5220
28,362.5273,605.3347,-317.8339,762.5359,824.1622,143.6998,362.5273,605.3347
29,523.4517,1134.6055,-14.6652,983.9031,1134.9572,523.1000,523.4517,1134.6055
