sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path
2000,material_ext_nocable,3,False,1.009018746762172,1.1291719887182312,22.419102923076924,1009.9974707884184,14504.773120471347,15594.894237063196,0.9300975627009358,0.15113901739990432,0.0,2841.97933691,2841.97933691,0.0,92.77812568,,,,
2001,material_ext_nocable,3,False,1.3881096922028084,0.8509825974214552,63.86407558212406,300.89026103934873,13384.68755387945,13572.345576319363,0.9861735010072736,0.11608322458953922,0.0,3260.03300909,3260.03300909,0.0,96.35288532,,,,
2007,material_ext_nocable,3,False,0.8040426772777901,1.056895302656847,79.51511850202365,848.4885467985499,2368.365982834262,12395.901364235673,0.19106040885960976,0.2469840022559407,0.18288936,3283.39695793,2734.1470951,65.22183247,133.55434107,,,,
2002,material_ext_nocable,3,False,0.9728668789005382,0.9908252792978873,48.12081016773639,739.4063177469096,2299.747200541622,3252.0407433541513,0.7071704760284354,0.14563910493787208,0.02957148,6443.11973308,6423.88129026,1.32237397,356.26223433,,,,
2003,material_ext_nocable,3,False,1.23746416456361,1.3381375796051302,25.660762295294937,533.4600053606766,10809.490138401163,4560.988965958859,2.3699882238431766,0.20754798999782575,0.07384681,3122.93078967,3037.86338336,3.86092865,191.92071463,,,,
2004,material_ext_nocable,3,False,1.394247993418305,1.0979960833146258,20.95304873883627,246.23605479235357,11775.581925070588,1786.9241569063433,6.589861063525693,0.09059822131786058,0.17039588,2273.76238887,1246.98640219,19.15641023,60.5752778,,,,
2005,material_ext_nocable,3,False,0.892646122085582,1.226023826415304,77.12066990569456,1135.1055642948295,4510.73112038572,7815.065758874221,0.5771840262845724,0.14871225374419697,0.06625757,2215.2281003,2166.79244999,2.74089773,140.77883599,,,,
2008,material_ext_nocable,3,False,1.136430704056786,0.8008989832495614,39.12631226297851,672.3191392879236,6344.775657812826,18993.386039994864,0.3340518454399056,0.11810658276334587,0.0,2967.08671213,2967.08671213,0.0,136.79777847,,,,
2006,material_ext_nocable,3,False,0.9619726545048801,1.3702334374916696,87.1585176979327,806.6247207020518,11966.297251005479,5627.146803344729,2.12653013493318,0.2769740588233105,0.07084696,1761.82771846,1709.80316119,1.77787305,82.82461222,,,,
2009,material_ext_nocable,3,False,1.1262106161652858,1.3229052983392262,4.685173619721848,1156.0407220963234,15169.332909474748,18100.174517410243,0.8380766105256957,0.12427038298427456,0.1314798,716.98215753,608.51192051,16.25402306,31.76273653,,,,
2012,material_ext_nocable,3,False,0.8489595804130112,0.985745894568633,13.503068802782952,719.2542134173455,15378.071410417022,18436.40467994158,0.8341144424513549,0.2849242623082574,0.1122118,4406.73643575,3558.41409691,8.62947236,245.42682719,,,,
2013,material_ext_nocable,3,False,1.245457076066287,1.3934233371107496,78.60730613917113,397.32276679386797,2985.331718863327,16381.680233347126,0.18223599022438983,0.29613984670251847,0.05435532,3439.20891434,3302.0070647,3.36378108,208.30777475,,,,
2014,material_ext_nocable,3,False,0.8672196749525531,1.3833498476498098,23.633096333625666,215.2491110120881,6743.506567101987,18448.14563279905,0.36553845038564053,0.09379256980757986,0.12903954,2196.89076066,2052.46257721,14.16913879,122.08523191,,,,
2015,material_ext_nocable,3,False,0.9080788609723773,0.8439229629272104,47.758231019935906,1026.3595940559,10903.37296469677,14396.44778483655,0.7573655062453006,0.20070389938710836,0.01095302,6477.36037771,6474.38099115,0.28662311,482.95380962,,,,
2016,material_ext_nocable,3,False,0.8559877979451269,1.0421610967219892,84.57518786304178,654.2413811307274,19873.400220618027,1092.337543818103,18.193460742137926,0.1737344776338583,0.03552988,7275.0233364,7229.47539528,0.0,517.23737423,,,,
2018,material_ext_nocable,3,False,0.9867617464070804,1.251218148922755,64.60787917718349,492.15016596961397,2949.557022856141,18394.898075557685,0.1603464727415576,0.2540058604886858,0.32346374,2623.39234718,1658.32946793,39.62140463,85.1749426,,,,
2019,material_ext_nocable,3,False,1.1887000398959526,1.3580073512826383,75.09359013699807,308.4119944723055,2632.9851104951094,8486.789535417192,0.31024512856211384,0.21518532173381738,0.16168157,3504.41074953,1977.63056269,3.6510453,116.46089074,,,,
2022,material_ext_nocable,3,False,1.1140915824714583,1.0641235732074925,22.001016367388207,971.932043156545,8457.338947230128,1046.1334807813873,8.08437843028702,0.09347348682507775,0.1111686,2926.93816721,2737.60988807,10.09911848,148.74192164,,,,
2023,material_ext_nocable,3,False,1.3268022577133851,1.3024386966010326,37.20581181408358,459.1341914703307,15292.37782281355,2834.3528035114687,5.395368496070032,0.1294124946141916,0.19660639,3538.08948361,2037.50357051,13.78007962,118.34564944,,,,
2024,material_ext_nocable,3,False,1.2110008593346961,1.023507947525083,62.628795499365374,915.2795629942266,16864.130251779225,4470.876742191533,3.7719962379264276,0.13950558499380555,0.15392346,1347.96416647,1044.87865074,28.66358058,43.46651506,,,,
2025,material_ext_nocable,3,False,0.8169601411527418,1.1500408055075657,21.112261394847746,960.7960693305668,14383.128456256622,19809.107016995637,0.7260866652856344,0.1670400730568762,0.07741306,2812.2516075,2740.62817008,5.10839436,174.98632211,,,,
2026,material_ext_nocable,3,False,1.0379648854723156,1.1030967748590554,0.5956858348497562,435.4148801893851,13001.595526662699,16903.879066498346,0.7691486359737659,0.2936484730044261,0.0,2658.60578111,2658.60578111,0.0,75.10602219,,,,
2029,material_ext_nocable,3,False,1.1743356597742403,1.2543937663084275,15.94692639439308,500.57121311065134,14989.643330794062,15976.79417566528,0.9382134592198242,0.1124667516047071,0.10669998,2036.21299651,1967.52514664,10.16337197,121.82911457,,,,
2027,material_ext_nocable,3,False,1.0594574026033516,1.2030885525212835,41.949528539213624,805.1069799663469,11837.474399205328,2381.2249509068797,4.971170151185034,0.1507000782657148,0.03214566,5779.52711737,5730.47655527,4.99338316,398.4787563,,,,
2021,material_ext_nocable,3,False,1.2475384815877577,1.0818193007406096,61.190548290114606,416.45731147038623,10196.18760609117,14326.93646155781,0.7116795438752515,0.11382471555095584,0.13293718,2800.42827412,2548.39058146,12.16910157,133.7940292,,,,
