sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,E1,E2,r,nu,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,cable_wale_tension,cable_course_tension,verts_path,stress_path,H_mean_x0,r_x0,H_mean_y0,r_y0,vm_x0,vm_y0,H_anisotropy
2000,material_ext_nocable,3,False,1.009018746762172,1.1291719887182312,22.419102923076924,1009.9974707884184,14504.773120471347,15594.894237063196,0.9300975627009358,0.15113901739990432,0.0,2841.97933691,2841.97933691,0.0,92.77812568,,,,,,,,,,,
2001,material_ext_nocable,3,False,1.3881096922028084,0.8509825974214552,63.86407558212406,300.89026103934873,13384.68755387945,13572.345576319363,0.9861735010072736,0.11608322458953922,0.0,3260.03300909,3260.03300909,0.0,96.35288532,,,,,,,,,,,
2007,material_ext_nocable,3,False,0.8040426772777901,1.056895302656847,79.51511850202365,848.4885467985499,2368.365982834262,12395.901364235673,0.19106040885960976,0.2469840022559407,0.18288936,3283.39695793,2734.1470951,65.22183247,133.55434107,,,,,0.9442619058655692,0.05569488426115634,1.0107036311196678,0.056226872452584745,2688.092159090909,2863.6651522727275,-0.06797227265352071
2002,material_ext_nocable,3,False,0.9728668789005382,0.9908252792978873,48.12081016773639,739.4063177469096,2299.747200541622,3252.0407433541513,0.7071704760284354,0.14563910493787208,0.02957148,6443.11973308,6423.88129026,1.32237397,356.26223433,,,,,0.23339354636352325,0.05283713853010698,0.21140541311374617,0.05532215407650073,6426.4915644444445,6433.7432687499995,0.09886773690126288
2003,material_ext_nocable,3,False,1.23746416456361,1.3381375796051302,25.660762295294937,533.4600053606766,10809.490138401163,4560.988965958859,2.3699882238431766,0.20754798999782575,0.07384681,3122.93078967,3037.86338336,3.86092865,191.92071463,,,,,0.5230733712029173,0.052920985199162815,0.5211975353658774,0.055575852593848764,3056.500333333333,3043.5436063829793,0.00359262299704085
2004,material_ext_nocable,3,False,1.394247993418305,1.0979960833146258,20.95304873883627,246.23605479235357,11775.581925070588,1786.9241569063433,6.589861063525693,0.09059822131786058,0.17039588,2273.76238887,1246.98640219,19.15641023,60.5752778,,,,,5.185962737645922,0.07987878295596576,1.540637409693696,0.06110541672597454,1165.3516295454547,1229.5060795918366,1.0838537294041355
2005,material_ext_nocable,3,False,0.892646122085582,1.226023826415304,77.12066990569456,1135.1055642948295,4510.73112038572,7815.065758874221,0.5771840262845724,0.14871225374419697,0.06625757,2215.2281003,2166.79244999,2.74089773,140.77883599,,,,,0.5131461621517622,0.05288925475212777,0.4686981800597508,0.0555846490770364,2182.4972222222227,2164.328558333333,0.09053977332475432
2008,material_ext_nocable,3,False,1.136430704056786,0.8008989832495614,39.12631226297851,672.3191392879236,6344.775657812826,18993.386039994864,0.3340518454399056,0.11810658276334587,0.0,2967.08671213,2967.08671213,0.0,136.79777847,,,,,,,,,,,
2006,material_ext_nocable,3,False,0.9619726545048801,1.3702334374916696,87.1585176979327,806.6247207020518,11966.297251005479,5627.146803344729,2.12653013493318,0.2769740588233105,0.07084696,1761.82771846,1709.80316119,1.77787305,82.82461222,,,,,0.5000950494563415,0.053059203545893455,0.5120903202071683,0.05561037281388532,1703.9731399999998,1731.77455,-0.023701727194129347
2009,material_ext_nocable,3,False,1.1262106161652858,1.3229052983392262,4.685173619721848,1156.0407220963234,15169.332909474748,18100.174517410243,0.8380766105256957,0.12427038298427456,0.1314798,716.98215753,608.51192051,16.25402306,31.76273653,,,,,0.9584180448457158,0.05321248669909328,0.8695030638958637,0.055642825421861886,637.5407644444444,646.095652173913,0.09728535933486211
2012,material_ext_nocable,3,False,0.8489595804130112,0.985745894568633,13.503068802782952,719.2542134173455,15378.071410417022,18436.40467994158,0.8341144424513549,0.2849242623082574,0.1122118,4406.73643575,3558.41409691,8.62947236,245.42682719,,,,,,0.10671287153525273,,0.1599900517546361,,,
2013,material_ext_nocable,3,False,1.245457076066287,1.3934233371107496,78.60730613917113,397.32276679386797,2985.331718863327,16381.680233347126,0.18223599022438983,0.29613984670251847,0.05435532,3439.20891434,3302.0070647,3.36378108,208.30777475,,,,,,0.06252315629226218,,0.13851504111328122,,,
2014,material_ext_nocable,3,False,0.8672196749525531,1.3833498476498098,23.633096333625666,215.2491110120881,6743.506567101987,18448.14563279905,0.36553845038564053,0.09379256980757986,0.12903954,2196.89076066,2052.46257721,14.16913879,122.08523191,,,,,0.9323758160396008,0.05285605430637823,0.8259420541421822,0.0553416015456117,2083.7423977272724,2111.1716744680853,0.12106316349547763
2015,material_ext_nocable,3,False,0.9080788609723773,0.8439229629272104,47.758231019935906,1026.3595940559,10903.37296469677,14396.44778483655,0.7573655062453006,0.20070389938710836,0.01095302,6477.36037771,6474.38099115,0.28662311,482.95380962,,,,,,0.05281102099847441,,0.055283513971271694,,,
2016,material_ext_nocable,3,False,0.8559877979451269,1.0421610967219892,84.57518786304178,654.2413811307274,19873.400220618027,1092.337543818103,18.193460742137926,0.1737344776338583,0.03552988,7275.0233364,7229.47539528,0.0,517.23737423,,,,,0.2756451296762853,0.05284489099072104,0.2371469576227833,0.05520743057907149,7244.550984444445,7214.799614583334,0.15015119385432035
2018,material_ext_nocable,3,False,0.9867617464070804,1.251218148922755,64.60787917718349,492.15016596961397,2949.557022856141,18394.898075557685,0.1603464727415576,0.2540058604886858,0.32346374,2623.39234718,1658.32946793,39.62140463,85.1749426,,,,,2.320736607834735,0.060487392804435026,1.6732569147671095,0.05607643389758437,1640.0760138888888,1684.0297809523809,0.32422671163764527
2019,material_ext_nocable,3,False,1.1887000398959526,1.3580073512826383,75.09359013699807,308.4119944723055,2632.9851104951094,8486.789535417192,0.31024512856211384,0.21518532173381738,0.16168157,3504.41074953,1977.63056269,3.6510453,116.46089074,,,,,,0.10894953507594116,,0.08133508101498814,,,
2022,material_ext_nocable,3,False,1.1140915824714583,1.0641235732074925,22.001016367388207,971.932043156545,8457.338947230128,1046.1334807813873,8.08437843028702,0.09347348682507775,0.1111686,2926.93816721,2737.60988807,10.09911848,148.74192164,,,,,0.838671626862043,0.05262002738112416,0.7308166735128461,0.05578025071487197,2810.9966454545456,2760.67440212766,0.13743963981564514
