face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,2635.4249,1595.0374,0.6336,2299.1322,2635.4253,1595.0370,2635.4249,1595.0374
1,2629.6794,1608.4517,-1.6597,2296.2201,2629.6821,1608.4490,2629.6794,1608.4517
2,2641.6967,1618.3083,0.5901,2307.0337,2641.6970,1618.3080,2641.6967,1618.3083
3,2639.6298,1617.3402,1.4551,2305.2682,2639.6318,1617.3381,2639.6298,1617.3402
4,2622.4559,1572.5230,6.5363,2286.1232,2622.4966,1572.4824,2622.4559,1572.5230
5,2624.7868,1564.0037,9.2577,2287.0711,2624.8676,1563.9229,2624.7868,1564.0037
6,2620.9844,1573.5096,8.3615,2285.0727,2621.0511,1573.4429,2620.9844,1573.5096
7,2625.1276,1568.7338,0.3828,2287.8144,2625.1278,1568.7337,2625.1276,1568.7338
8,2623.5812,1576.3796,-11.4331,2287.5278,2623.7061,1576.2548,2623.5812,1576.3796
9,2618.2856,1577.0664,-12.4415,2283.3774,2618.4343,1576.9177,2618.2856,1577.0664
10,2625.0023,1574.9684,-6.1906,2288.4453,2625.0388,1574.9319,2625.0023,1574.9684
11,2632.4960,1584.0713,0.1234,2295.4860,2632.4960,1584.0713,2632.4960,1584.0713
12,2627.1342,1563.5361,-7.8160,2288.8956,2627.1916,1563.4786,2627.1342,1563.5361
13,2613.8944,1590.3153,-6.6544,2281.3950,2613.9376,1590.2721,2613.8944,1590.3153
14,2610.0635,1578.2242,9.5041,2276.8902,2610.1511,1578.1366,2610.0635,1578.2242
15,2593.3061,1580.3613,7.8546,2263.7586,2593.3670,1580.3004,2593.3061,1580.3613
16,2608.8628,1595.4690,1.3337,2278.0106,2608.8646,1595.4673,2608.8628,1595.4690
17,2634.4425,1607.3810,2.2657,2299.8746,2634.4475,1607.3760,2634.4425,1607.3810
18,2590.6665,1581.0352,-2.7635,2261.7058,2590.6741,1581.0276,2590.6665,1581.0352
19,2612.7185,1589.6851,-8.5315,2280.3981,2612.7896,1589.6140,2612.7185,1589.6851
20,2607.9670,1593.3255,-1.7749,2277.0260,2607.9702,1593.3224,2607.9670,1593.3255
21,2615.5160,1569.2977,14.4496,2280.2900,2615.7156,1569.0982,2615.5160,1569.2977
22,2599.4389,1580.8013,-0.9547,2268.6608,2599.4398,1580.8004,2599.4389,1580.8013
23,2604.3243,1567.9862,12.8334,2271.1309,2604.4832,1567.8273,2604.3243,1567.9862
24,2621.8312,1598.3080,-3.9632,2288.6985,2621.8466,1598.2927,2621.8312,1598.3080
25,2601.5381,1588.7579,4.1927,2271.3411,2601.5554,1588.7406,2601.5381,1588.7579
26,2604.7071,1585.9149,8.0765,2273.5385,2604.7712,1585.8509,2604.7071,1585.9149
27,2617.0720,1589.8722,7.9053,2283.8864,2617.1329,1589.8113,2617.0720,1589.8722
28,2590.4258,1581.9429,-0.1414,2261.6241,2590.4258,1581.9429,2590.4258,1581.9429
29,2622.0160,1590.3436,8.1588,2287.8929,2622.0805,1590.2791,2622.0160,1590.3436
30,2618.7369,1573.3175,-7.2050,2283.2350,2618.7865,1573.2679,2618.7369,1573.3175
31,2626.2306,1563.5100,-7.9892,2288.1662,2626.2907,1563.4500,2626.2306,1563.5100
32,2632.6447,1588.4456,-5.2970,2296.1378,2632.6716,1588.4188,2632.6447,1588.4456
33,2611.1398,1575.7104,-8.6661,2277.4414,2611.2123,1575.6378,2611.1398,1575.7104
34,2629.1522,1584.4227,-8.0163,2292.8892,2629.2137,1584.3611,2629.1522,1584.4227
35,2603.1647,1574.3108,-13.9752,2270.9726,2603.3545,1574.1210,2603.1647,1574.3108
36,2632.3334,1592.8609,2.2561,2296.4014,2632.3383,1592.8560,2632.3334,1592.8609
37,2628.3396,1561.7224,-1.8155,2289.6330,2628.3427,1561.7193,2628.3396,1561.7224
38,2630.9182,1573.3508,0.6394,2292.9909,2630.9186,1573.3504,2630.9182,1573.3508
39,2627.4448,1574.7589,7.8996,2290.3988,2627.5041,1574.6996,2627.4448,1574.7589
40,2612.9073,1571.1059,15.1643,2278.4192,2613.1280,1570.8852,2612.9073,1571.1059
41,2607.3575,1578.8360,-9.1959,2274.7967,2607.4397,1578.7538,2607.3575,1578.8360
42,2642.2431,1619.0639,0.1394,2307.5650,2642.2431,1619.0639,2642.2431,1619.0639
43,2640.1711,1615.4602,1.3895,2305.4565,2640.1730,1615.4583,2640.1711,1615.4602
44,2633.4993,1595.3473,-5.7191,2297.6518,2633.5308,1595.3158,2633.4993,1595.3473
