face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1152.4886,428.1884,-65.7313,1015.4087,1158.4055,422.2715,1152.4886,428.1884
1,1086.8504,1033.7325,-10.4713,1061.4438,1088.8401,1031.7427,1086.8504,1033.7325
2,1351.1472,1171.7619,14.7628,1271.2418,1352.3540,1170.5551,1351.1472,1171.7619
3,1323.3441,1151.6798,45.4389,1248.8920,1334.6296,1140.3942,1323.3441,1151.6798
4,890.9531,-342.7035,65.9540,1108.8848,894.4691,-346.2195,890.9531,-342.7035
5,1067.9878,-793.4901,119.3498,1631.0718,1075.6088,-801.1111,1067.9878,-793.4901
6,929.3929,-319.0539,148.2094,1152.3850,946.7464,-336.4074,929.3929,-319.0539
7,881.1657,-482.6141,-175.1141,1235.5676,903.2920,-504.7404,881.1657,-482.6141
8,693.3718,103.2981,-506.4769,1090.5813,984.4796,-187.8097,693.3718,103.2981
9,555.3272,263.5644,-502.0065,993.7411,932.2190,-113.3275,555.3272,263.5644
10,799.2847,-59.6346,-367.7622,1046.8163,935.2316,-195.5816,799.2847,-59.6346
11,1070.2940,66.5993,-106.7151,1054.9162,1081.5148,55.3786,1070.2940,66.5993
12,796.0294,-520.6393,-518.5683,1458.0506,975.7387,-700.3486,796.0294,-520.6393
13,585.8397,680.0880,-150.4220,689.3371,790.5947,475.3331,585.8397,680.0880
14,729.2690,-65.7811,404.1011,1036.3521,898.5983,-235.1104,729.2690,-65.7811
15,191.3969,254.6972,565.3468,1005.7864,789.2791,-343.1850,191.3969,254.6972
16,604.8979,763.3373,200.8877,779.6870,900.0612,468.1740,604.8979,763.3373
17,1210.8865,866.6458,61.4135,1085.9218,1221.5147,856.0176,1210.8865,866.6458
18,-87.9216,573.9379,182.6614,698.3495,621.0025,-134.9861,-87.9216,573.9379
19,542.9350,747.0884,-190.5579,745.8123,861.1874,428.8359,542.9350,747.0884
20,537.0019,781.1682,94.1109,711.1095,813.2317,504.9385,537.0019,781.1682
21,839.9394,-604.7381,454.5252,1482.8787,971.0445,-735.8432,839.9394,-604.7381
22,282.2728,504.5260,159.4525,517.7700,587.7553,199.0435,282.2728,504.5260
23,586.7773,-494.2218,534.1813,1317.0459,806.2051,-713.6495,586.7773,-494.2218
24,876.2500,870.5419,-63.0495,880.2106,936.5100,810.2819,876.2500,870.5419
25,411.3549,543.9014,350.9086,781.4829,834.7401,120.5162,411.3549,543.9014
26,555.5031,332.7751,431.3329,890.2862,889.6164,-1.3382,555.5031,332.7751
27,853.9914,304.7413,307.2426,919.3020,991.4548,167.2778,853.9914,304.7413
28,-40.6903,541.3639,299.7724,765.7345,668.1409,-167.4673,-40.6903,541.3639
29,981.9964,305.9572,263.7570,982.9451,1072.7249,215.2286,981.9964,305.9572
30,615.0933,-59.9147,-364.5071,904.0902,774.3532,-219.1746,615.0933,-59.9147
31,768.6496,-514.0233,-520.4015,1436.1752,953.2249,-698.5986,768.6496,-514.0233
32,1010.8499,333.6016,-255.3438,995.7348,1096.3328,248.1188,1010.8499,333.6016
33,417.4065,225.9245,-335.9254,685.2047,670.9680,-27.6370,417.4065,225.9245
34,879.8046,296.4858,-352.1897,986.5207,1045.4228,130.8676,879.8046,296.4858
35,69.9365,383.3487,-468.5754,885.2830,720.7273,-267.4421,69.9365,383.3487
36,1120.4027,338.5230,6.7355,995.3663,1120.4607,338.4650,1120.4027,338.5230
37,930.3657,-711.3430,-341.1869,1543.5750,998.4491,-779.4264,930.3657,-711.3430
38,1030.5032,-315.0882,-188.9906,1262.1685,1056.5434,-341.1283,1030.5032,-315.0882
39,1098.2604,-351.0406,99.4171,1320.8295,1105.0483,-357.8285,1098.2604,-351.0406
