sample_id,E1,r,E2,nu,sf_wale,sf_course,knit_dir,pressure,motif,grid,e2_over_e1,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,verts_path,stress_path
7000,1000.0,4.0,250.0,0.05,1.1,1.1,0.0,1000.0,1,A,0.25,0.7067886,1425.8733309,1035.01190231,0.0,0.0,59.33092863,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07000_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07000_stress.csv
7001,1000.0,4.0,250.0,0.1,1.1,1.1,0.0,1000.0,1,A,0.25,0.69101386,1407.61523302,1021.98313391,0.0,0.0,56.64104413,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07001_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07001_stress.csv
7002,1000.0,4.0,250.0,0.15000000000000002,1.1,1.1,0.0,1000.0,1,A,0.25,0.67440315,1389.62504706,1010.2194779,0.0,0.0,53.98452776,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07002_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07002_stress.csv
7003,1000.0,4.0,250.0,0.2,1.1,1.1,0.0,1000.0,1,A,0.25,0.6569386,1372.02015954,999.74631814,0.0,0.0,51.3636996,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07003_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07003_stress.csv
7004,1000.0,4.0,250.0,0.25,1.1,1.1,0.0,1000.0,1,A,0.25,0.63859223,1354.94208886,990.62515819,0.0,0.0,48.78315001,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07004_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07004_stress.csv
7005,1000.0,4.0,250.0,0.3,1.1,1.1,0.0,1000.0,1,A,0.25,0.61932415,1338.56398143,982.9606062,0.0,0.0,46.2505283,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07005_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07005_stress.csv
7006,1000.0,4.0,250.0,0.35000000000000003,1.1,1.1,0.0,1000.0,1,A,0.25,0.59908011,1323.17129038,976.9113678,0.0,0.0,43.77779556,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07006_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07006_stress.csv
7007,1000.0,4.0,250.0,0.4,1.1,1.1,0.0,1000.0,1,A,0.25,0.57778779,1309.03588285,972.7072219,0.0,0.0,41.3832183,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07007_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07007_stress.csv
7008,2000.0,4.0,500.0,0.05,1.1,1.1,0.0,1000.0,1,A,0.25,0.49639264,1383.43038298,1084.75337744,0.0,0.0,43.93786766,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07008_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07008_stress.csv
7009,2000.0,4.0,500.0,0.1,1.1,1.1,0.0,1000.0,1,A,0.25,0.48588758,1372.86336248,1076.09982887,0.0,0.0,42.31641549,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07009_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07009_stress.csv
7010,2000.0,4.0,500.0,0.15000000000000002,1.1,1.1,0.0,1000.0,1,A,0.25,0.47480395,1364.72090476,1069.55579865,0.0,0.0,40.82287658,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07010_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07010_stress.csv
7011,2000.0,4.0,500.0,0.2,1.1,1.1,0.0,1000.0,1,A,0.25,0.46311724,1358.02130609,1065.17873301,0.0,0.0,39.46777431,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07011_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07011_stress.csv
7012,2000.0,4.0,500.0,0.25,1.1,1.1,0.0,1000.0,1,A,0.25,0.45079446,1352.77356731,1063.08458252,0.0,0.0,38.2677484,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07012_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07012_stress.csv
7013,2000.0,4.0,500.0,0.3,1.1,1.1,0.0,1000.0,1,A,0.25,0.43779243,1349.20877014,1063.45954243,0.0,0.0,37.2472428,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07013_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07013_stress.csv
7014,2000.0,4.0,500.0,0.35000000000000003,1.1,1.1,0.0,1000.0,1,A,0.25,0.42405544,1347.63193616,1066.57888481,0.0,0.0,36.44106106,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07014_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/07014_stress.csv
