sample_id,E1,r,E2,nu,sf_wale,sf_course,knit_dir,pressure,motif,grid,e2_over_e1,crown_height,max_stress,mean_stress,cable_wale_tension,cable_course_tension,boundary_reaction_mean,verts_path,stress_path
8440,7000.0,1.0,7000.0,0.1,1.1,1.1,0.0,1000.0,1,B,1.0,0.19832705,1633.90090764,1387.64490388,0.0,0.0,67.84769808,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08440_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08440_stress.csv
8441,7000.0,1.0,7000.0,0.15714285714285714,1.1,1.1,0.0,1000.0,1,B,1.0,0.19147601,1670.64547358,1434.05555418,0.0,0.0,71.49295882,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08441_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08441_stress.csv
8442,7000.0,1.0,7000.0,0.2142857142857143,1.1,1.1,0.0,1000.0,1,B,1.0,0.18420747,1713.73056275,1487.69013197,0.0,0.0,75.58885448,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08442_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08442_stress.csv
8443,7000.0,1.0,7000.0,0.27142857142857146,1.1,1.1,0.0,1000.0,1,B,1.0,0.17647548,1764.7376353,1550.14667576,0.0,0.0,80.23968093,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08443_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08443_stress.csv
8444,7000.0,1.0,7000.0,0.3285714285714286,1.1,1.1,0.0,1000.0,1,B,1.0,0.16822527,1825.82140421,1623.60538548,0.0,0.0,85.58604622,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08444_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08444_stress.csv
8445,7000.0,1.0,7000.0,0.3857142857142858,1.1,1.1,0.0,1000.0,1,B,1.0,0.15939134,1899.99124072,1711.10855155,0.0,0.0,91.82228979,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08445_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08445_stress.csv
8446,7000.0,1.0,7000.0,0.44285714285714284,1.1,1.1,0.0,1000.0,1,B,1.0,0.14989518,1991.57262998,1817.01941574,0.0,0.0,99.2249382,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08446_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08446_stress.csv
8447,7000.0,1.0,7000.0,0.5,1.1,1.1,0.0,1000.0,1,B,1.0,0.13964274,2106.99652979,1947.80680265,0.0,0.0,108.20124217,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08447_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08447_stress.csv
8448,7000.0,0.8,8750.0,0.1,1.1,1.1,0.0,1000.0,1,B,1.25,0.18530622,1736.58972701,1495.64750203,0.0,0.0,74.64372384,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08448_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08448_stress.csv
8449,7000.0,0.8,8750.0,0.15714285714285714,1.1,1.1,0.0,1000.0,1,B,1.25,0.1786951,1777.68954455,1546.67892203,0.0,0.0,78.5820656,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08449_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/08449_stress.csv
