case,frac,cable_wale_lrest,cable_wale_L_nocable,crown_height,H_anisotropy,cable_wale_tension,wale_stress_MPa,max_stress
no cable,,,,0.13610704,0.08047058711438543,0.0,0.0,2834.20672433
EA=150 kN (A=0.75 mm$^2$),0.93,1.2406396590014281,1.334021138711213,0.10096477,0.05494278523288578,477.26293044,636.35057392,4801.04147413
EA=150 kN (A=0.75 mm$^2$),0.9400000000000001,1.2539798703885403,1.334021138711213,0.10805799,0.03742887518971145,354.66117126,472.88156168,4477.76516258
EA=150 kN (A=0.75 mm$^2$),0.9500000000000001,1.2673200817756525,1.334021138711213,0.11405321,0.04717957839995679,263.28357772,351.0447702933333,4160.24000002
EA=150 kN (A=0.75 mm$^2$),0.96,1.2806602931627644,1.334021138711213,0.11921414,0.0581291637824489,191.39003803,255.18671737333332,3857.29224115
EA=150 kN (A=0.75 mm$^2$),0.97,1.2940005045498766,1.334021138711213,0.12386404,0.06601238683396655,132.39269611,176.52359481333335,3571.49449322
EA=150 kN (A=0.75 mm$^2$),0.98,1.3073407159369888,1.334021138711213,0.12828871,0.07191895151984681,82.3479163,109.79722173333332,3302.76691819
EA=150 kN (A=0.75 mm$^2$),0.99,1.320680927324101,1.334021138711213,0.13233228,0.07665768490788546,38.76470506,51.686273413333325,3050.10558059
EA=800 kN (A=4.0 mm$^2$),0.93,1.2406396590014281,1.334021138711213,0.09896651,0.060300364122604484,516.88110276,129.22027569,4878.09251104
EA=800 kN (A=4.0 mm$^2$),0.9400000000000001,1.2539798703885403,1.334021138711213,0.10682782,0.041206180360112615,375.24105487,93.81026371750002,4536.11372586
EA=800 kN (A=4.0 mm$^2$),0.9500000000000001,1.2673200817756525,1.334021138711213,0.11327809,0.04302057564014638,274.84907794,68.712269485,4202.33273064
EA=800 kN (A=4.0 mm$^2$),0.96,1.2806602931627644,1.334021138711213,0.11872407,0.05761975142818412,198.12745675,49.5318641875,3886.48261123
EA=800 kN (A=4.0 mm$^2$),0.97,1.2940005045498766,1.334021138711213,0.12353527,0.06545183781929288,136.28913451,34.0722836275,3590.64069889
EA=800 kN (A=4.0 mm$^2$),0.98,1.3073407159369888,1.334021138711213,0.12810253,0.07164022506537714,84.44098265,21.110245662500002,3314.04916578
EA=800 kN (A=4.0 mm$^2$),0.99,1.320680927324101,1.334021138711213,0.13225082,0.07655064800467026,39.63749418,9.909373545,3055.14140531
