sample_id,group,motif,has_cable,sf_wale,sf_course,knit_dir,pressure,L_rest,crown_height,max_stress,mean_stress,cable_tension,boundary_reaction_mean,verts_path,stress_path
0,motif1_nocable,1,False,1.132667891679631,0.9164066876116149,70.09354985437047,423.3819513438803,1.325,0.16450935,1531.07606098,1080.66493217,0.0,48.4552515,,
1,motif1_nocable,1,False,0.9855499135161208,1.0745316705170704,51.28650352417664,1071.0167946716845,1.325,0.19353045,2121.03374898,1853.70137539,0.0,76.91389918,,
2,motif1_nocable,1,False,1.3400912154841187,1.2450821397636407,24.77523559818872,1014.6805873443033,1.325,0.07164586,3919.17726486,3844.36638007,0.0,198.50185392,,
3,motif1_nocable,1,False,1.3810679026523673,0.8360845920653458,10.023243819290407,411.28730284619803,1.325,0.08275245,3091.7526618,2562.04010954,0.0,144.76779284,,
4,motif1_nocable,1,False,1.3619466333233525,0.8446985658837435,78.5148751827749,645.3068570420692,1.325,0.10312935,2974.83251412,2483.02299437,0.0,137.89335577,,
5,motif1_nocable,1,False,1.3937556458412201,0.9645382088336526,39.29929017511889,650.13486711364,1.325,0.07980605,2373.56086858,2314.87844449,0.0,135.42458649,,
6,motif1_nocable,1,False,1.0458843848245725,1.3924256781274855,59.390746848858974,335.6431910360479,1.325,0.01808548,5766.30127121,5761.15838103,0.0,311.73799868,,
7,motif1_nocable,1,False,1.1051743750310667,0.8982849306069711,3.513928814144735,510.63045072593917,1.325,0.19869743,1685.15351281,1057.12081326,0.0,47.49368677,,
8,motif1_nocable,1,False,1.2290889662473807,1.0626103493622403,37.14573134632282,291.9947568149433,1.325,0.04979386,1425.74152811,1402.99289742,0.0,82.97345121,,
9,motif1_nocable,1,False,1.3960864483195214,1.1543603035814332,26.695973985510403,794.0307673120319,1.325,0.06502491,3011.27955977,2955.05823165,0.0,171.17003671,,
10,motif1_nocable,1,False,1.3303242445588015,1.36120770956577,63.466405876517506,1126.5637907216717,1.325,0.05987585,5551.11347271,5494.68174625,0.0,275.29506552,,
