sample_id,motif,has_cable,group,sf_wale,sf_course,knit_dir,pressure,crown_height,mean_stress,max_stress,boundary_reaction_mean,verts_path,stress_path,H_mean_x0,H_mean_y0,r_x0,r_y0,von_mises_x0,von_mises_y0,T_wale_x0,T_course_y0,sim_failed
0,1,False,motif1_nocable,0.8035156250000001,1.098828125,60.99609375,494.921875,0.13931735,1768.85102572,2495.24993633,91.8923942,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00000_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00000_stress.csv,2.8125522821913704,5.623136783493036,0.0782476017019879,0.1108835454871023,1743.383456521739,1716.4098460000002,-167.43510217391304,1644.92296,True
1,1,False,motif1_nocable,1.267578125,1.098828125,60.99609375,494.921875,0.06988595,1899.38891579,1947.51947849,114.60972609,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00001_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00001_stress.csv,0.4902093182873965,0.4800930344735758,0.0528620727270761,0.0553260594681782,1917.295788888889,1912.5560395833331,1825.6602866666665,1981.8335145833328,False
2,1,False,motif1_nocable,0.8035156250000001,0.864453125,60.99609375,494.921875,0.0,1682.30224915,1682.30224915,100.22470248,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00002_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00002_stress.csv,0.0,0.0,,,1682.3022000000008,1682.3022,-1127.9773,-1933.6205,True
3,1,False,motif1_nocable,0.8035156250000001,1.098828125,32.87109375,494.921875,0.14729917,1792.33847503,2394.05192748,90.7877071,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00003_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00003_stress.csv,6.535491116453437,4.011588924951843,0.086431594259954,0.0788148464293513,1781.5555608695656,1788.9052204081634,-206.38038478260876,1675.843432653061,False
4,1,False,motif1_nocable,0.8035156250000001,1.098828125,60.99609375,557.421875,0.14845111,1829.42637443,2492.53409248,95.18603053,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00004_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00004_stress.csv,3.7119690280122666,4.927629020940176,0.0733947025250618,0.1025930336733279,1793.932565909091,1778.167436734694,-146.82492045454543,1701.4756081632652,True
5,1,False,motif1_nocable,1.267578125,0.864453125,32.87109375,557.421875,0.13721721,1856.08825901,2487.87713805,100.63177155,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00005_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00005_stress.csv,2.6144946347169222,7.707155793048793,0.0683504930497816,0.0809673450680777,1822.783093023256,1833.5482531914893,1707.8400046511626,-205.9437085106383,False
6,1,False,motif1_nocable,1.103515625,1.398828125,15.99609375,994.921875,0.05717127,5958.25659497,6005.65915421,329.77143029,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00006_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00006_stress.csv,0.4087606375513952,0.3781469810164703,0.0529144062584283,0.0553281418218654,5948.156531111111,5990.301897916666,1397.7902355555557,6568.247066666667,False
7,1,False,motif1_nocable,0.967578125,1.398828125,15.99609375,994.921875,0.05612853,5996.19448342,6048.29573143,356.65305618,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00007_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00007_stress.csv,0.4040538161322682,0.3728662152713898,0.0529392221731185,0.0553490599774769,5984.300826666666,6025.757445833333,654.7871288888888,6331.059360416667,False
8,1,False,motif1_nocable,1.103515625,1.164453125,15.99609375,994.921875,0.12967872,2608.23103028,2757.03578943,126.8046738,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00008_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00008_stress.csv,0.9538773120096348,0.9311473252084952,0.0531897117640173,0.0554367683459539,2589.3766844444444,2716.669967391305,1109.715342222222,3092.6368826086964,False
9,1,False,motif1_nocable,1.103515625,1.398828125,77.87109375,994.921875,0.05719429,5957.80924113,6000.75285194,329.82818781,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00009_verts.csv,/home/chaoyu/phd_simulation/sensitivity_analysis/data/nocable_v2_saltelli/m1_00009_stress.csv,0.4456262574924609,0.4014751832318453,0.0528522387775705,0.0553748499111386,5991.693482222222,5948.120047916666,1405.7666422222223,6522.740295833333,False
