face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1852.7869,2813.3694,36.1459,2477.7434,2814.7276,1851.4287,1852.7869,2813.3694
1,1901.0769,2828.3751,-18.7097,2497.5770,2828.7524,1900.6995,1901.0769,2828.3751
2,1939.8040,2939.8935,-0.8605,2589.0150,2939.8943,1939.8032,1939.8040,2939.8935
3,1931.0625,2938.6113,-7.0457,2586.4929,2938.6606,1931.0132,1931.0625,2938.6113
4,1734.6091,2735.5194,40.1189,2398.2717,2737.1249,1733.0036,1734.6091,2735.5194
5,1707.4650,2746.5593,68.5899,2404.8877,2751.0673,1702.9570,1707.4650,2746.5593
6,1736.2653,2768.6997,28.0775,2423.9396,2769.4628,1735.5023,1736.2653,2768.6997
7,1748.2428,2647.4738,68.9993,2334.8075,2652.7374,1742.9792,1748.2428,2647.4738
8,1824.8283,2555.0428,52.3523,2281.2168,2558.7771,1821.0941,1824.8283,2555.0428
9,1827.7809,2530.2921,30.4019,2262.9879,2531.6053,1826.4677,1827.7809,2530.2921
10,1799.5981,2607.4378,58.4090,2314.1262,2611.6391,1795.3968,1799.5981,2607.4378
11,1818.2049,2757.7747,54.5232,2430.2077,2760.9281,1815.0515,1818.2049,2757.7747
12,1774.5046,2555.0436,98.8009,2274.3048,2567.3556,1762.1925,1774.5046,2555.0436
13,1839.2922,2630.3762,-27.6581,2337.9776,2631.3420,1838.3264,1839.2922,2630.3762
14,1739.9601,2774.7940,-28.1682,2429.2576,2775.5602,1739.1939,1739.9601,2774.7940
15,1729.0235,2693.6512,-96.7107,2369.7999,2703.2516,1719.4231,1729.0235,2693.6512
16,1822.4387,2737.2617,-68.6100,2416.5088,2742.3787,1817.3217,1822.4387,2737.2617
17,1892.2315,2893.5820,-1.5770,2545.1989,2893.5845,1892.2290,1892.2315,2893.5820
18,1765.8753,2558.6015,-97.8164,2274.9264,2570.4929,1753.9839,1765.8753,2558.6015
19,1848.8442,2615.9817,-29.4945,2329.7322,2617.1140,1847.7119,1848.8442,2615.9817
20,1825.5768,2687.7442,-64.3125,2379.5849,2692.5151,1820.8059,1825.5768,2687.7442
21,1694.5531,2796.5180,12.6628,2440.0114,2796.6635,1694.4076,1694.5531,2796.5180
22,1779.5848,2627.8757,-66.4121,2325.8024,2633.0435,1774.4169,1779.5848,2627.8757
23,1687.8771,2743.4356,-22.5335,2397.1460,2743.9164,1687.3963,1687.8771,2743.4356
24,1872.2956,2741.8379,-20.6393,2427.1203,2742.3275,1871.8060,1872.2956,2741.8379
25,1780.3390,2716.3458,-82.8548,2394.3099,2723.6235,1773.0614,1780.3390,2716.3458
26,1762.4707,2764.2204,-66.0820,2426.6150,2768.5608,1758.1303,1762.4707,2764.2204
27,1789.6191,2820.1769,-28.5820,2472.1534,2820.9690,1788.8270,1789.6191,2820.1769
28,1760.7082,2596.4297,-104.9455,2302.8301,2609.4067,1747.7312,1760.7082,2596.4297
29,1800.6894,2847.9002,-10.5443,2495.0286,2848.0063,1800.5832,1800.6894,2847.9002
30,1785.5565,2554.7729,38.4789,2271.0850,2556.6930,1783.6364,1785.5565,2554.7729
31,1772.8550,2548.1995,95.6572,2268.5234,2559.8268,1761.2278,1772.8550,2548.1995
32,1852.1157,2713.2158,48.8860,2402.8842,2715.9823,1849.3492,1852.1157,2713.2158
33,1795.4238,2529.1454,2.3411,2253.7195,2529.1529,1795.4163,1795.4238,2529.1454
34,1846.4807,2650.5597,49.2214,2355.4232,2653.5616,1843.4788,1846.4807,2650.5597
35,1806.8671,2443.1395,-20.4307,2195.5690,2443.7949,1806.2118,1806.8671,2443.1395
36,1838.5004,2819.5564,28.1012,2479.6362,2820.3607,1837.6962,1838.5004,2819.5564
37,1745.3907,2616.8909,101.7675,2314.7526,2628.6168,1733.6648,1745.3907,2616.8909
38,1776.7233,2702.9787,77.8464,2382.9759,2709.4756,1770.2263,1776.7233,2702.9787
39,1748.6628,2786.1973,50.8608,2440.5650,2788.6845,1746.1755,1748.6628,2786.1973
40,1695.0714,2804.1912,-3.4514,2446.1166,2804.2019,1695.0607,1695.0714,2804.1912
41,1811.0186,2541.1083,-18.4774,2266.2854,2541.5756,1810.5512,1811.0186,2541.1083
42,1944.7354,2940.1172,-0.2108,2590.0840,2940.1173,1944.7354,1944.7354,2940.1172
43,1925.1457,2930.8089,-0.2429,2579.4559,2930.8090,1925.1457,1925.1457,2930.8089
44,1878.5312,2741.4396,34.1806,2428.5790,2742.7915,1877.1794,1878.5312,2741.4396
45,1790.7714,2500.2567,-79.0234,2235.9543,2508.9519,1782.0763,1790.7714,2500.2567
46,1842.0926,2841.4183,-31.2194,2497.1446,2842.3926,1841.1182,1842.0926,2841.4183
47,1944.2187,2944.7181,-3.6946,2593.4950,2944.7318,1944.2050,1944.2187,2944.7181
48,1941.5949,2944.4738,-4.7889,2592.8383,2944.4967,1941.5720,1941.5949,2944.4738
49,1920.0197,2889.6504,-20.5288,2547.4759,2890.0848,1919.5853,1920.0197,2889.6504
50,1906.6186,2917.2906,1.2551,2565.8572,2917.2922,1906.6170,1906.6186,2917.2906
51,1731.0788,2685.5216,97.9008,2364.0144,2695.4601,1721.1402,1731.0788,2685.5216
52,1910.2341,2803.2580,-3.6849,2480.4055,2803.2733,1910.2189,1910.2341,2803.2580
53,1816.6517,2745.0618,-65.3752,2421.0717,2749.6426,1812.0708,1816.6517,2745.0618
54,1784.3317,2814.8183,-19.4123,2466.9015,2815.1839,1783.9662,1784.3317,2814.8183
55,1780.0416,2596.1622,-56.3020,2301.4863,2600.0280,1776.1758,1780.0416,2596.1622
56,1769.7921,2710.6710,66.0359,2386.5580,2715.2831,1765.1799,1769.7921,2710.6710
57,1763.8261,2752.7483,68.6863,2418.1583,2757.4961,1759.0782,1763.8261,2752.7483
58,1799.1541,2722.8843,-50.8138,2399.9816,2725.6711,1796.3672,1799.1541,2722.8843
59,1865.2061,2685.6628,37.3389,2384.6690,2687.3586,1863.5103,1865.2061,2685.6628
60,1742.8860,2827.3949,10.6752,2470.6939,2827.5000,1742.7809,1742.8860,2827.3949
61,1881.7171,2692.9391,5.1128,2392.8036,2692.9713,1881.6849,1881.7171,2692.9391
62,1784.3815,2855.8402,-2.1761,2498.7890,2855.8446,1784.3771,1784.3815,2855.8402
63,1840.5565,2660.7031,-40.9144,2361.1093,2662.7392,1838.5205,1840.5565,2660.7031
64,1830.4062,2541.3952,24.7976,2271.3731,2542.2591,1829.5424,1830.4062,2541.3952
65,1783.8139,2603.3012,61.1922,2307.9424,2607.8453,1779.2698,1783.8139,2603.3012
66,1924.5342,2864.0232,5.9675,2528.7659,2864.0611,1924.4963,1924.5342,2864.0232
67,1908.4767,2919.2557,-4.8965,2567.6989,2919.2794,1908.4529,1908.4767,2919.2557
68,1892.6984,2886.9360,-8.2224,2540.2382,2887.0040,1892.6304,1892.6984,2886.9360
69,1816.2151,2797.4309,-33.3806,2459.0371,2798.5652,1815.0808,1816.2151,2797.4309
70,1825.3964,2550.0183,-43.5182,2277.1809,2552.6225,1822.7922,1825.3964,2550.0183
71,1889.4038,2862.9073,-17.1421,2521.4636,2863.2090,1889.1021,1889.4038,2862.9073
72,1813.8597,2599.1501,-69.9405,2312.1094,2605.3306,1807.6792,1813.8597,2599.1501
73,1908.4294,2874.6698,-11.6839,2533.7984,2874.8111,1908.2882,1908.4294,2874.6698
74,1889.0716,2812.4240,-22.8794,2483.3486,2812.9906,1888.5050,1889.0716,2812.4240
75,1776.2815,2772.2055,-36.3106,2433.1127,2773.5276,1774.9594,1776.2815,2772.2055
76,1816.5426,2672.9764,48.1669,2365.5897,2675.6769,1813.8421,1816.5426,2672.9764
77,1922.7848,2844.0427,2.6218,2513.4078,2844.0502,1922.7774,1922.7848,2844.0427
78,1862.8803,2799.7397,46.3260,2469.7619,2802.0249,1860.5952,1862.8803,2799.7397
79,1900.2594,2864.3816,30.7264,2524.9618,2865.3599,1899.2811,1900.2594,2864.3816
80,1778.9519,2794.9976,-14.5174,2450.5402,2795.2050,1778.7445,1778.9519,2794.9976
81,1860.5836,2620.9162,-3.9097,2335.5053,2620.9363,1860.5635,1860.5836,2620.9162
82,1746.9166,2634.3568,104.5998,2328.5994,2646.5189,1734.7544,1746.9166,2634.3568
83,1883.7204,2725.9601,-3.2381,2417.5082,2725.9726,1883.7080,1883.7204,2725.9601
84,1847.1214,2710.3747,-33.2885,2398.9418,2711.6565,1845.8396,1847.1214,2710.3747
85,1755.5375,2708.6688,-63.5217,2382.3799,2712.8836,1751.3227,1755.5375,2708.6688
86,1696.3629,2799.9728,-22.4663,2443.2026,2800.4300,1695.9057,1696.3629,2799.9728
87,1702.4881,2765.0370,56.6832,2417.8692,2768.0523,1699.4728,1702.4881,2765.0370
88,1809.0370,2680.1975,-52.5224,2369.7622,2683.3527,1805.8818,1809.0370,2680.1975
89,1926.8653,2877.5748,3.4132,2539.4059,2877.5870,1926.8531,1926.8653,2877.5748
90,1864.8110,2877.5912,11.3827,2528.2951,2877.7191,1864.6831,1864.8110,2877.5912
91,1782.5689,2823.7330,41.4856,2474.4059,2825.3834,1780.9185,1782.5689,2823.7330
92,1906.2290,2892.6486,8.2585,2547.0138,2892.7178,1906.1599,1906.2290,2892.6486
93,1893.0149,2746.9575,-9.8758,2435.0651,2747.0717,1892.9007,1893.0149,2746.9575
94,1908.1118,2907.7312,-13.3670,2558.9160,2907.9099,1907.9331,1908.1118,2907.7312
95,1854.4721,2847.5271,-40.0340,2504.3214,2849.1384,1852.8607,1854.4721,2847.5271
96,1860.9294,2873.8044,-9.4239,2524.7038,2873.8920,1860.8417,1860.9294,2873.8044
97,1904.8618,2787.7868,-0.1951,2467.7734,2787.7869,1904.8618,1904.8618,2787.7868
98,1859.3215,2863.5520,-4.8902,2516.5084,2863.5758,1859.2977,1859.3215,2863.5520
99,1743.9262,2816.5622,-28.4621,2462.6926,2817.3169,1743.1715,1743.9262,2816.5622
100,1784.3142,2597.0427,62.1420,2303.4871,2601.7667,1779.5902,1784.3142,2597.0427
101,1784.2240,2530.7949,29.2158,2252.8723,2531.9364,1783.0824,1784.2240,2530.7949
102,1827.3723,2550.3158,42.3730,2277.8082,2552.7909,1824.8973,1827.3723,2550.3158
103,1805.6712,2455.8115,42.9189,2205.1296,2458.6326,1802.8501,1805.6712,2455.8115
104,1747.6711,2799.0533,40.4136,2449.9242,2800.6044,1746.1199,1747.6711,2799.0533
105,1778.4126,2711.1958,74.9953,2389.2639,2717.1869,1772.4215,1778.4126,2711.1958
106,1829.4670,2663.7187,-43.3659,2361.1021,2665.9669,1827.2188,1829.4670,2663.7187
107,1726.5127,2753.0749,-40.2753,2410.7914,2754.6526,1724.9350,1726.5127,2753.0749
108,1745.3437,2736.5484,57.8397,2401.8202,2739.9121,1741.9800,1745.3437,2736.5484
109,1794.3730,2801.0293,-57.5596,2459.5502,2804.3098,1791.0925,1794.3730,2801.0293
110,1851.9757,2676.9746,-35.6231,2375.3152,2678.5100,1850.4403,1851.9757,2676.9746
111,1735.6079,2652.3594,100.4215,2339.6886,2663.2307,1724.7366,1735.6079,2652.3594
112,1695.2912,2788.4191,24.5026,2433.9088,2788.9680,1694.7422,1695.2912,2788.4191
113,1863.4674,2852.8144,16.3398,2509.1304,2853.0842,1863.1976,1863.4674,2852.8144
114,1879.9289,2888.0478,24.0219,2539.1651,2888.6199,1879.3568,1879.9289,2888.0478
115,1698.6385,2772.7902,43.8530,2422.7132,2774.5776,1696.8511,1698.6385,2772.7902
116,1849.7636,2632.3351,31.3589,2341.9150,2633.5897,1848.5090,1849.7636,2632.3351
117,1801.0981,2510.1352,18.6640,2241.6018,2510.6262,1800.6072,1801.0981,2510.1352
118,1841.4265,2618.2586,-3.3993,2329.1272,2618.2735,1841.4116,1841.4265,2618.2586
119,1817.8821,2803.5460,29.0627,2463.8554,2804.4022,1817.0260,1817.8821,2803.5460
