group,output,n_heldout,R2,RMSE,nRMSE_pct,coverage_pct
no cable,crown_height,219,0.988,0.01004,2.1,97.0
no cable,H_mean_x0,219,0.981,0.05005,3.5,96.0
no cable,H_mean_y0,219,0.982,0.04954,3.5,94.0
no cable,H_anisotropy,219,0.941,0.008757,4.8,93.0
no cable,max_stress,219,0.999,137.0,0.5,96.0
no cable,mean_stress,219,0.999,132.6,0.5,97.0
no cable,boundary_reaction_mean,219,1.0,5.5,0.4,96.0
cable,crown_height,74,0.944,0.01287,5.8,89.0
cable,H_mean_x0,74,0.935,0.2431,4.9,100.0
cable,H_mean_y0,74,0.911,0.1999,5.1,96.0
cable,H_anisotropy,74,0.467,0.08904,12.2,96.0
cable,max_stress,74,0.963,1315.0,3.8,92.0
cable,mean_stress,74,0.988,595.7,2.4,92.0
cable,boundary_reaction_mean,74,0.994,23.18,1.8,99.0
cable,cable_wale_tension,74,0.918,206.7,6.8,89.0
cable,cable_course_tension,74,0.934,165.3,6.7,91.0
