face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,720.4925,1137.1549,146.5674,1028.2826,1183.5468,674.1006,720.4925,1137.1549
1,953.3273,1185.7913,-68.6520,1094.8178,1204.5518,934.5668,953.3273,1185.7913
2,1071.0981,1469.5705,-3.6323,1316.3867,1469.6036,1071.0650,1071.0981,1469.5705
3,1033.5061,1464.4966,-25.4416,1304.3239,1465.9933,1032.0094,1033.5061,1464.4966
4,149.3387,910.1910,182.1962,902.4463,951.5699,107.9598,149.3387,910.1910
5,7.0238,945.2948,311.5955,1085.4802,1039.3465,-87.0280,7.0238,945.2948
6,148.1453,1014.7901,126.7331,974.4708,1032.9426,129.9928,148.1453,1014.7901
7,260.4382,632.6286,334.0525,798.7863,828.9239,64.1428,260.4382,632.6286
8,691.6512,271.8617,247.7369,740.5250,806.4553,157.0576,691.6512,271.8617
9,735.4021,182.8231,143.4792,708.2025,770.4358,147.7893,735.4021,182.8231
10,557.8399,476.4054,275.2144,706.8370,795.3328,238.9125,557.8399,476.4054
11,554.3541,952.8604,222.7525,914.2677,1052.4726,454.7419,554.3541,952.8604
12,419.2568,245.3318,481.7437,910.6799,821.8241,-157.2355,419.2568,245.3318
13,748.7393,570.8582,-119.6791,708.5442,808.9077,510.6897,748.7393,570.8582
14,163.2126,1034.5454,-120.7636,985.8110,1050.9731,146.7850,163.2126,1034.5454
15,131.0239,761.3903,-447.8942,1048.3080,993.8837,-101.4695,131.0239,761.3903
16,591.5441,890.1934,-285.6495,927.6675,1063.1939,418.5437,591.5441,890.1934
17,863.3260,1335.5992,-4.6394,1173.1002,1335.6447,863.2804,863.3260,1335.5992
18,381.0171,268.3770,-483.1035,902.8349,811.0723,-161.6782,381.0171,268.3770
19,782.0700,514.6642,-130.6837,724.7372,835.3289,461.4054,782.0700,514.6642
20,639.9335,746.5963,-277.0952,848.2300,975.4457,411.0841,639.9335,746.5963
21,-67.5281,1110.3704,56.8890,1149.8578,1113.1116,-70.2693,-67.5281,1110.3704
22,431.6232,557.1698,-321.2560,752.2405,821.7281,167.0650,431.6232,557.1698
23,-94.8907,931.5161,-104.1315,998.8237,941.9740,-105.3485,-94.8907,931.5161
24,841.1869,936.7304,-85.1456,904.8995,986.5901,791.3271,841.1869,936.7304
25,384.2277,820.6007,-363.2502,949.5109,1026.1548,178.6737,384.2277,820.6007
26,283.1115,983.1237,-285.4473,1006.3752,1084.7639,181.4713,283.1115,983.1237
27,395.2054,1138.5280,-116.2684,1021.2913,1156.2900,377.4435,395.2054,1138.5280
28,327.4189,403.8782,-503.1353,947.3747,870.2342,-138.9370,327.4189,403.8782
29,444.7766,1223.3284,-42.7725,1075.0531,1225.6712,442.4338,444.7766,1223.3284
30,516.8574,289.3847,195.4537,562.0684,629.2584,176.9837,516.8574,289.3847
31,412.0931,216.9052,467.2561,884.5723,791.8385,-162.8401,412.0931,216.9052
32,746.0816,830.4669,199.1214,863.5189,991.8167,584.7318,746.0816,830.4669
33,596.8337,190.7936,9.4316,528.2116,597.0526,190.5746,596.8337,190.7936
34,750.7248,626.3423,208.6207,785.0156,906.2268,470.8403,750.7248,626.3423
35,666.1651,-206.4773,-105.5073,810.7725,678.7403,-219.0525,666.1651,-206.4773
36,630.8508,1130.9864,107.6929,999.2060,1153.1899,608.6473,630.8508,1130.9864
37,245.7609,489.9663,490.2909,949.3189,873.1301,-137.4029,245.7609,489.9663
38,384.6841,800.2467,353.8120,925.2477,1002.7775,182.1533,384.6841,800.2467
39,212.6670,1066.5505,224.0376,1051.9105,1121.7624,157.4552,212.6670,1066.5505
