face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1166.8677,6.6451,14.3789,1163.8258,1167.0458,6.4670,1166.8677,6.6451
1,1115.5001,328.5394,-30.6594,994.2901,1116.6928,327.3467,1115.5001,328.5394
2,1198.9643,440.1994,4.5788,1050.5096,1198.9919,440.1717,1198.9643,440.1994
3,1177.3911,446.7620,14.8091,1029.8011,1177.6911,446.4619,1177.3911,446.7620
4,981.3926,-384.8815,118.9854,1237.5207,991.6773,-395.1662,981.3926,-384.8815
5,1046.3953,-677.5919,277.9624,1579.5228,1090.1037,-721.3002,1046.3953,-677.5919
6,969.3015,-405.2837,184.3141,1264.3407,993.5866,-429.5688,969.3015,-405.2837
7,1073.4633,-553.9487,112.2281,1446.2405,1081.1662,-561.6516,1073.4633,-553.9487
8,996.0982,-246.8751,-183.1530,1183.0917,1022.5241,-273.3010,996.0982,-246.8751
9,988.4317,-322.6911,-242.7122,1255.7120,1031.9197,-366.1790,988.4317,-322.6911
10,1013.1061,-206.8753,-65.3269,1136.4730,1016.5942,-210.3634,1013.1061,-206.8753
11,1130.7442,-195.8178,59.0919,1244.5170,1133.3713,-198.4448,1130.7442,-195.8178
12,1039.4075,-847.3857,-90.2432,1644.2752,1043.7139,-851.6921,1039.4075,-847.3857
13,952.3326,11.4023,-125.3132,971.2460,968.7358,-5.0010,952.3326,11.4023
14,870.6135,-188.9954,213.5581,1046.4465,912.0357,-230.4176,870.6135,-188.9954
15,568.4584,69.3074,162.8537,606.7240,616.8917,20.8741,568.4584,69.3074
16,911.5202,273.6674,-2.4364,810.1403,911.5295,273.6581,911.5202,273.6674
17,1144.5659,288.7030,33.4224,1032.6142,1145.8691,287.3998,1144.5659,288.7030
18,555.9284,58.1778,-132.9349,577.1598,589.2066,24.8996,555.9284,58.1778
19,945.7872,49.8772,-175.3410,970.5984,978.8812,16.7832,945.7872,49.8772
20,905.9359,213.6894,-60.7542,826.9628,911.2275,208.3978,905.9359,213.6894
21,877.5061,-483.4880,352.6296,1342.0448,963.4448,-569.4268,877.5061,-483.4880
22,779.0529,37.9990,-63.0033,768.5521,784.3712,32.6807,779.0529,37.9990
23,743.1515,-442.7078,336.2968,1190.1890,831.8824,-531.4388,743.1515,-442.7078
24,1051.5183,218.2873,-77.8422,970.5592,1058.7281,211.0775,1051.5183,218.2873
25,795.5126,191.3410,55.6426,725.6210,800.5944,186.2592,795.5126,191.3410
26,826.8647,96.4678,138.8089,819.1760,852.3552,70.9773,826.8647,96.4678
27,958.0049,35.9837,124.4990,964.9330,974.5200,19.4686,958.0049,35.9837
28,543.4901,104.6128,-67.6040,513.0109,553.6677,94.4352,543.4901,104.6128
29,1021.2221,41.6957,134.9644,1027.9585,1039.4779,23.4398,1021.2221,41.6957
30,980.2075,-357.7246,-113.6432,1215.7970,989.7916,-367.3087,980.2075,-357.7246
31,1014.1384,-826.2102,-137.4598,1614.2109,1024.3489,-836.4207,1014.1384,-826.2102
32,1064.2081,-76.2638,-61.2257,1109.3969,1067.4856,-79.5413,1064.2081,-76.2638
